timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1542899619214,0,33,7.2509765625E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619214,0,66,1.4501953125E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619214,0,67,1.4721679687500002E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619215,0,64,1.40625E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619215,0,74,1.6259765625E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619215,0,85,1.86767578125E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619215,0,68,1.4941406250000001E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619215,0,39,8.5693359375E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619230,0,26,5.712890625E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619230,0,25,5.4931640625E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619230,0,17,3.7353515625000003E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619230,0,3,6.591796875E-7,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619231,0,5,1.0986328125E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619231,0,20,4.39453125E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619231,0,37,8.1298828125E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619231,0,60,1.318359375E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619231,0,67,1.4721679687500002E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619231,0,65,1.42822265625E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619244,0,72,1.58203125E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619245,0,83,1.82373046875E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619245,0,75,1.64794921875E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619245,0,55,1.20849609375E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619245,0,42,9.228515625000002E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619246,0,43,9.448242187500001E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619246,0,49,1.07666015625E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619263,0,54,1.1865234375000001E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619263,0,52,1.142578125E-5,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619264,0,41,9.008789062499999E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
1542899619264,0,20,4.39453125E-6,50,48,41,68390,78810,74582,2705,11730,11406,2268,981,Tag0,unknown
