timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1544369936486,0,-28,-6.15234375E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936495,0,-11,-2.4169921875E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936495,0,-5,-1.0986328125E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936496,0,-15,-3.2958984375E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936496,0,-27,-5.9326171875000005E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936496,0,-42,-9.228515625000002E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936496,0,-80,-1.7578125E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936496,0,-116,-2.548828125E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936496,0,-112,-2.4609375E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936496,0,-90,-1.9775390625E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,-79,-1.7358398437500003E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,-92,-2.021484375E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,-125,-2.74658203125E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,91,1.99951171875E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,82,1.8017578124999998E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,86,1.8896484375000003E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,72,1.58203125E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,53,1.1645507812500002E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,36,7.91015625E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,0,0.0,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,-296,-6.50390625E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936497,0,-317,-6.96533203125E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936498,0,-326,-7.163085937500001E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936498,0,-347,-7.62451171875E-5,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
