timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta   ,theta   ,alphaLow,alphaHigh,betaLow ,betaHigh,gammaLow,gammaMid,action
1.54898E+12,0         ,-120       ,-2.64E-05       ,29       ,40        ,41           ,420442  ,1432672 ,517585  ,215081   ,144694  ,150752  ,41104   ,16776465,math
1.54898E+12,0         ,13         ,2.86E-06        ,29       ,40        ,37           ,420442  ,1432672 ,517585  ,215081   ,144694  ,150752  ,41104   ,16776465,math
1.54898E+12,0         ,20         ,4.39E-06        ,29       ,40        ,37           ,420442  ,1432672 ,517585  ,215081   ,144694  ,150752  ,41104   ,16776465,math
1.54898E+12,0         ,-285       ,-6.26E-05       ,29       ,40        ,37           ,420442  ,1432672 ,517585  ,215081   ,144694  ,150752  ,41104   ,16776465,math
1.54898E+12,0         ,-115       ,-2.53E-05       ,29       ,40        ,37           ,420442  ,1432672 ,517585  ,215081   ,144694  ,150752  ,41104   ,16776465,math
1.54898E+12,0         ,274        ,6.02E-05        ,29       ,40        ,37           ,420442  ,1432672 ,517585  ,215081   ,144694  ,150752  ,41104   ,16776465,math
1.54898E+12,0         ,75         ,1.65E-05        ,29       ,40        ,37           ,420442  ,1432672 ,517585  ,215081   ,144694  ,150752  ,41104   ,16776465,math
1.54898E+12,0         ,19         ,4.17E-06        ,29       ,40        ,37           ,420442  ,1432672 ,517585  ,215081   ,144694  ,150752  ,41104   ,16776465,math
1.54898E+12,0         ,119        ,2.61E-05        ,29       ,40        ,37           ,420442  ,1432672 ,517585  ,215081   ,144694  ,150752  ,41104   ,16776465,math
1.54898E+12,0         ,102        ,2.24E-05        ,29       ,40        ,37           ,420442  ,1432672 ,517585  ,215081   ,144694  ,150752  ,41104   ,16776465,math
1.54898E+12,0         ,24         ,5.27E-06        ,26       ,30        ,37           ,653085  ,1174995 ,262147  ,14302    ,16745293,16769045,16765065,9091    ,math
1.54898E+12,0         ,32         ,7.03E-06        ,26       ,30        ,37           ,653085  ,1174995 ,262147  ,14302    ,16745293,16769045,16765065,9091    ,math
1.54898E+12,0         ,114        ,2.50E-05        ,26       ,30        ,37           ,653085  ,1174995 ,262147  ,14302    ,16745293,16769045,16765065,9091    ,math
1.54898E+12,0         ,-261       ,-5.73E-05       ,26       ,30        ,37           ,653085  ,1174995 ,262147  ,14302    ,16745293,16769045,16765065,9091    ,math
1.54898E+12,0         ,-102       ,-2.24E-05       ,26       ,30        ,37           ,653085  ,1174995 ,262147  ,14302    ,16745293,16769045,16765065,9091    ,math
1.54898E+12,0         ,-260       ,-5.71E-05       ,26       ,30        ,37           ,653085  ,1174995 ,262147  ,14302    ,16745293,16769045,16765065,9091    ,math
1.54898E+12,0         ,11         ,2.42E-06        ,26       ,30        ,37           ,653085  ,1174995 ,262147  ,14302    ,16745293,16769045,16765065,9091    ,math
1.54898E+12,0         ,100        ,2.20E-05        ,26       ,30        ,37           ,653085  ,1174995 ,262147  ,14302    ,16745293,16769045,16765065,9091    ,math
1.54898E+12,0         ,25         ,5.49E-06        ,26       ,30        ,37           ,653085  ,1174995 ,262147  ,14302    ,16745293,16769045,16765065,9091    ,math
1.54898E+12,0         ,59         ,1.30E-05        ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,118        ,2.59E-05        ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,84         ,1.85E-05        ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,-344       ,-7.56E-05       ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,53         ,1.16E-05        ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,-297       ,-6.53E-05       ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,-261       ,-5.73E-05       ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,102        ,2.24E-05        ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,76         ,1.67E-05        ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,120        ,2.64E-05        ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,43         ,9.45E-06        ,43       ,38        ,37           ,64510   ,83667   ,32241   ,21855    ,28266   ,16748815,23837   ,8530    ,math
1.54898E+12,0         ,-277       ,-6.09E-05       ,47       ,37        ,37           ,197520  ,28396   ,4422    ,3592     ,1382    ,19946   ,9111    ,2050    ,math
1.54898E+12,0         ,53         ,1.16E-05        ,47       ,37        ,37           ,197520  ,28396   ,4422    ,3592     ,1382    ,19946   ,9111    ,2050    ,math
