delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
16748707,43395,89078,16754333,15046,20048,7077,3684,right
24001,16751920,16768659,27537,8183,4429,5148,1664,right
16758904,16758316,136217,7618,11075,13995,5072,588,right
95711,16753721,16752948,12165,8792,9482,5057,705,right
16752905,16752907,16744928,17935,8590,4745,4927,800,right
6710,26195,16763310,5421,14931,7015,6962,453,right
42900,16772878,40011,7258,4448,7241,3317,2154,right
16766822,16769874,15579,16766859,6460,6415,4628,1370,right
16772269,31766,75408,16759158,6530,4044,2049,4395,right
16760518,16753466,68502,16510,9188,2704,2316,900,right
28879,18836,16758191,16753931,2945,4474,2159,883,right
16765556,15300,20239,10214,11782,4954,3128,1325,right
102559,75960,8362,84552,5603,4573,1634,1408,right
16767815,20219,16766386,16745010,8561,13708,3809,1779,right
17796,66926,39235,15158,12513,3690,4583,1893,right
32193,14862,16761372,19685,8651,5036,4463,1629,right
16763650,131053,13821,31231,6577,3549,1788,668,right
66563,6473,27800,19081,3714,12548,1509,3650,right
69787,16760186,16745285,16772234,11369,8035,1870,1907,right
103788,90611,8557,9706,6829,3782,2572,1058,right
26783,15168,21615,2567,7831,8366,2038,1375,right
16758635,16760717,26953,6639,9306,8633,6284,1575,right
87850,71333,16820,6482,18266,13587,1577,5322,right
16754158,16759100,25207,29223,9923,14853,1689,676,right
16543,16761975,16757585,24284,5684,2727,994,659,right
17491,15046,14988,18476,10723,4714,2293,1225,right
59103,46896,9033,17259,3263,7173,3780,924,right
18821,11566,67505,16763053,9723,13863,3848,1035,right
16747461,88987,24626,7518,2076,9943,2422,433,right
16749403,16760926,16752506,22561,9085,9424,2705,992,right
141949,27305,19668,16772536,6179,7780,3628,1038,right
46756,16755712,21504,22368,10201,10968,6677,740,right
678644,140263,16763583,30955,12054,11500,3329,3502,right
326646,42165,16760003,16751998,4539,6956,4448,3634,right
71434,11672,23349,16745676,9175,2513,1825,1577,right
16757102,16771580,16774664,22757,13780,4075,5689,1933,right
16750169,16761022,1503,72071,11718,9735,6843,2580,right
273618,7417,9900,14345,8082,7688,3692,1187,right
16748702,16753250,16767743,10104,16937,4057,4550,2015,right
16756017,161301,211577,16748191,27390,10596,4669,2004,right
26235,16757571,16752045,79477,11008,9818,2226,1857,right
32586,16761012,76646,10788,12235,8831,3695,2306,right
8382,13055,70748,7523,12598,6013,2107,2048,right
73710,15467,27139,16762334,8016,6301,1837,1601,right
16760422,24252,10298,8291,19442,15908,4632,3199,right
110056,89022,77238,149723,16677,7700,5434,2570,right
145020,8556,7099,1224,1758,1958,736,261,right
16761394,30308,16759900,7424,7592,10046,4228,1491,right
30019,29816,16765112,16767188,6301,5997,1785,972,right
20490,5484,30868,80605,13841,6716,4045,2331,right
16755060,9424,151445,12973,13843,4132,2753,974,right
8087,30248,17406,19263,12511,3517,4678,2199,right
30504,16731,10239,16773,6589,9715,4058,822,right
26711,20879,19803,30686,3994,6354,3051,2546,right
36715,3864,126402,16744623,9661,4215,3665,2364,right
16755030,16751042,4249,8509,11896,11120,2332,2188,right
26983,16756049,71852,8556,8423,4773,2449,1967,right
75926,15033,5231,16759309,13090,4194,2124,2247,right
22439,16544,16761075,21226,11557,6286,1405,693,right
68384,16754782,15357,16751064,11043,6623,3354,4536,right
67955,16746018,7869,16122,4989,5165,3472,910,right
8593,16750680,16749908,9079,8691,10423,2788,1414,right
16746635,26337,77266,8559,5346,5862,1783,2323,right
42721,32551,16750384,8946,6099,7510,3516,3595,right
16755593,16751328,23174,15280,8648,3908,2990,1805,right
7519,16745739,16763981,16746134,11069,4902,7896,684,right
33842,32018,16757361,15308,11158,5558,1859,1519,right
16746422,20280,77285,16746908,5240,2947,2627,2567,right
542646,16748759,16775928,6631,4737,5637,3969,3143,right
98217,16757711,27431,11361,11315,5556,3167,2677,right
39139,25558,26047,19076,16206,5313,6241,962,right
16757125,15904,16759266,16763040,9709,7519,4026,4160,right
87370,22971,69618,21404,5895,2985,2804,1838,right
11229,16744681,16771672,10793,10188,7180,2513,2161,right
16773218,73963,25173,7462,27009,4693,1664,1677,right
20283,16752278,22054,7737,5763,10551,3859,1478,right
122813,15825,7019,11417,2032,2359,975,575,right
4595,22097,159867,16752959,12327,2497,6173,1734,right
16761770,29205,16746715,17706,2664,5669,1724,507,right
16757931,13088,24893,12093,10786,10301,5942,1679,right
63750,20642,31594,10475,5870,6821,4310,684,right
16762668,71260,16763594,11047,14451,21596,2817,1429,right
16753931,16754716,21718,15961,5156,5790,1374,458,right
16755997,16757768,41815,15277,7258,6326,2414,2039,right
14670,23444,11189,16744638,22273,10342,2139,1379,right
16755606,16768151,16754318,8110,5760,6706,3928,4309,right
16759414,30015,16764182,16744968,10726,6008,2696,1776,right
25961,5282,16773889,75167,3344,4184,1337,1985,right
11908,16749467,16758990,12419,7406,6728,2181,1289,right
65762,16757539,16761021,17955,5798,5360,1502,1144,right
33037,74909,4607,11105,18293,8391,3814,1304,right
147051,27009,4304,13233,4474,4773,3051,862,right
91590,19924,16766821,7138,7692,10280,3819,1321,right
217298,84356,71457,12138,5894,7983,3446,2160,right
107992,84525,51925,27063,13237,5801,3921,3181,right
16750474,11968,38327,16755665,4723,5882,2043,1387,right
487462,108504,16763067,22544,14092,14525,8664,1644,right
29935,16746154,16764173,32104,4496,11048,3372,2018,right
79311,97290,70615,17012,13651,7124,2017,1196,right
16439,13962,6801,30944,2326,8469,3424,1105,right
80194,20018,23909,15306,12743,4226,3661,2480,right
22347,19827,16753743,8321,8181,3457,7567,644,right
16511,12132,24494,16759788,2135,9822,2176,1659,right
74222,16773025,16752224,31699,6188,6741,1782,1741,right
16750189,16762537,29946,11708,5489,8281,3892,833,right
55945,74627,17143,5323,6357,3581,4484,933,right
69085,2813,6145,1863,680,1488,391,496,right
32603,4210,13579,10125,11570,13112,4145,757,right
18725,16752934,16745797,16772806,6654,6710,5267,1818,right
245311,16750931,16757580,16763025,8346,9493,2809,2888,right
26641,81637,31094,16771233,5992,8453,2726,2548,right
150234,15045,10264,7716,7350,2197,1108,402,right
678317,16772804,4969,20016,8731,6064,5072,1719,right
16755490,26120,20018,23113,10893,10379,4223,2949,right
1056320,27752,25186,17937,8723,3650,4256,1585,right
14236,14989,16745001,22348,11395,3027,2429,1869,right
16773756,16761600,27387,9427,9409,10441,3477,2165,right
160592,16763142,16762571,16746613,10064,10326,2879,2623,right
16753654,24150,16754367,16768177,6148,8654,4491,1726,right
86558,16772891,16763314,16591,4931,7093,2002,1892,right
4809,11756,17021,23267,14361,7634,5243,4398,right
71042,11019,13605,4213,1389,2158,607,322,right
13922,12231,25821,31106,13118,5926,5633,1618,right
12671,19748,68102,12539,1713,6745,1594,805,right
16748436,16764053,1808,8207,6947,4212,2559,849,right
72211,16773754,22906,6943,11116,6053,3632,1128,right
16776598,11098,12067,6568,2070,2835,401,312,right
76699,16765208,31397,16744943,8077,6175,1252,2848,right
91754,66254,16746993,3045,6802,7480,4702,2993,right
67881,16760990,8671,8401,4253,2703,1434,815,right
42576,76073,19694,32517,6510,5767,2798,652,right
16990,27831,16772297,12962,25876,7236,2106,1402,right
26544,77535,16747958,30505,11911,4480,3224,1716,right
14357,31125,9718,8145,5349,11521,3925,663,right
16759330,23645,16754819,15303,14344,4910,3378,1683,right
16749796,22406,14797,18075,7313,8036,1843,1038,right
28469,26133,16744406,11626,5720,13722,4707,2551,right
16765993,69045,16220,16758048,5326,7477,1669,1233,right
47727,69326,82147,4670,7650,10709,2412,1198,right
16745757,16753835,19400,16679,3375,8214,6667,1153,right
66562,90207,3702,16757608,8834,6001,4394,1683,right
11311,17462,16765200,10549,6952,7768,3613,681,right
139391,16760608,32451,16745217,11150,8404,3616,2921,right
16777038,22040,16747232,16759107,9341,8551,3047,2643,right
16755610,20610,3974,16748308,18073,7804,2646,1972,right
16759613,16749868,12367,16385,7773,3002,2186,643,right
77506,24638,16760520,28333,14166,10118,3827,2905,right
16771796,16749753,14326,16769100,15468,7751,9030,2101,right
16758004,17203,26630,18062,13075,7995,5882,1478,right
16755708,18376,19510,13668,5007,5303,2432,2452,right
71872,17180,14018,13547,2838,7264,8856,1955,right
12008,16752615,16755771,824,9953,6042,1990,794,right
