delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
13027,11672,16774597,27849,3631,9646,5543,2593,left
85653,46950,27865,16755616,9107,9180,2602,1103,left
14691,21465,29380,16745978,6075,5862,6921,3143,left
16754444,16749943,7212,13624,26679,4667,2530,2150,left
15367,16768516,10148,1754,11859,5625,3237,3841,left
17951,25045,16772141,16756949,3198,4526,2999,1844,left
37716,16774785,16746951,21193,7758,4382,4416,2334,left
12098,16745999,67782,3602,7820,4017,2374,2919,left
16775842,95984,16744951,13191,30702,5427,3721,2111,left
14323,16757392,16767556,19228,13018,12355,3505,2691,left
9999,30769,12888,7713,5371,3837,4425,1311,left
19445,19259,45284,16759108,7453,6649,2829,1969,left
6479,18232,20620,6569,12311,4918,4857,1502,left
105182,30621,26366,70906,4396,4870,5199,1962,left
68868,155824,16776887,22285,7009,7714,7200,2040,left
656804,9026,20997,2429,3913,6275,4146,962,left
23997,25244,16767344,11092,6420,5706,6030,4344,left
19897,18273,20169,16759402,7960,13138,3317,3086,left
16776792,16756542,7239,9215,10073,10436,5687,1519,left
164990,39711,21254,16769260,6817,5877,9658,1184,left
46295,46220,8407,8869,4985,5917,3392,3287,left
16753483,16762662,2835,25834,18958,8963,5017,4693,left
14790,15392,9287,8814,8039,10074,2258,1478,left
16757237,17083,88731,12911,3385,4043,5737,1960,left
16756981,16769589,16748996,12660,11126,7777,2873,2846,left
16759114,49775,16751667,14449,7439,4659,3641,1816,left
18178,11650,16762683,17128,17010,4056,1530,1815,left
24861,19072,16543,6601,13309,13010,4636,2222,left
9764,16759335,24852,17273,13820,7970,7012,2468,left
68791,11176,26874,13711,6279,5741,1435,2026,left
156692,8583,11034,7113,1578,2310,555,603,left
22697,21193,27936,13886,12086,6592,2197,1284,left
6100,11258,23042,16744630,2950,6361,2919,1830,left
70999,108789,614,16747784,10191,9818,3925,2405,left
27608,16745256,16763553,72139,9324,11395,4276,1837,left
101915,91934,65556,6456,8218,11241,2475,925,left
20826,23078,8078,4884,4210,6040,1714,1348,left
16744514,31759,16773342,11053,13053,4363,3657,1623,left
215790,52417,19625,10141,5574,12349,3885,1241,left
11918,32609,123612,23592,15367,4032,3699,1269,left
10828,22376,16280,16769102,11027,5839,1882,444,left
16751599,19687,16775560,16752504,3241,2780,9347,1025,left
20955,24360,25019,7112,9633,11876,4170,991,left
22077,28706,6226,4530,2459,9439,4782,997,left
30195,17182,16753477,14242,16134,12168,5944,2982,left
70902,9555,6287,3951,1393,801,1435,441,left
16753928,10661,16746534,15426,10832,6339,1435,935,left
26249,20769,30636,24161,8215,12772,5216,947,left
16765859,22998,16757614,10082,5841,5654,2585,2575,left
68032,31213,67738,6233,6804,10052,5113,1279,left
77587,30466,29683,73193,7896,4620,5507,5923,left
55834,16791,22796,31572,8021,7704,2515,1093,left
42312,10276,875,5710,1819,654,136,326,left
6933,24226,15555,16745564,3731,3935,3936,242,left
6718,9165,6763,8280,5844,8522,5064,743,left
87079,30553,22602,32436,14475,3866,1363,3130,left
30503,12063,22800,17312,6856,2223,2485,1193,left
20014,17219,28450,9819,7699,5447,2900,3838,left
18451,23362,2598,44805,6009,11501,9275,1308,left
44219,75396,81960,20990,11576,4805,4993,1224,left
23534,31599,16762770,16773979,4558,7175,4550,1615,left
16762755,31704,30458,16756224,6940,7240,1304,1027,left
16748915,16746004,13696,16753590,16627,13920,1806,1957,left
139909,16761843,70278,27933,11830,9456,5639,757,left
16746823,9248,16753185,15332,18232,4755,3579,1344,left
27357,12242,76059,3987,24880,8967,3212,1060,left
18354,16754418,22289,30234,4573,6404,4864,4209,left
9489,30465,17585,10969,15151,7985,2417,1544,left
29791,26794,42412,23260,2761,6666,1714,2130,left
94212,96252,16762749,16744496,9183,5603,6756,1563,left
30916,31518,55217,16750383,9844,5881,1575,2343,left
23143,69294,14469,16126,5915,6151,3110,930,left
112233,16768705,19754,29616,7412,12455,4413,2191,left
181909,62503,11811,19383,12889,6193,1670,1691,left
131657,90302,17267,16775896,7766,18080,4470,2682,left
26485,16755360,20156,30699,3480,6893,4079,1610,left
32345,9079,16748102,8389,6856,4526,1239,1001,left
50601,16771818,29743,16745471,11301,5650,4861,2452,left
148182,16748932,16766072,18754,4990,3298,1813,1302,left
29381,8537,17529,30450,12502,8071,5296,3356,left
31531,18241,10964,22601,1211,6521,3206,1757,left
16748,17150,27806,13665,8828,8321,2234,604,left
18760,6643,21730,16747892,5156,11875,4931,895,left
84844,11220,4833,7182,1466,2514,235,340,left
16748539,3744,16755987,27437,4718,7035,5635,730,left
11005,29810,68629,9330,4528,1972,3674,1400,left
21355,32630,78986,16766437,7415,8107,3104,1165,left
82081,75422,30361,5790,12103,6308,1700,1988,left
16625,17396,156970,18820,8403,3134,2474,2038,left
67323,10856,18961,7524,1740,1665,834,798,left
16775108,66676,13353,16757976,9573,6822,4951,1705,left
6625,21859,79433,16747413,11523,6483,4060,2372,left
19543,19579,16760673,16080,10484,8614,3201,2443,left
90062,16756607,16754299,25015,4795,11635,4156,1570,left
16775128,85337,16748244,1820,3514,9332,3854,1218,left
7705,5176,17000,997,9341,6075,3474,1542,left
97477,16774202,9605,8693,6569,4992,3153,664,left
95789,16759306,8522,17025,10713,6548,2786,945,left
23009,15981,5751,29229,22621,3520,1607,2628,left
32204,16744682,19018,21179,8967,3468,5842,2664,left
16754149,16761879,16744551,5974,14538,5616,3476,3183,left
16775019,67493,5928,11052,4582,7619,2664,2776,left
20387,16752980,16769646,21492,15704,3392,6158,1294,left
16748108,16769357,16764942,65611,6765,5581,4064,4067,left
28952,14436,70636,10240,980,2710,4038,1232,left
29513,22867,13413,16747768,6876,2393,3528,1123,left
16764981,16318,16768011,16776412,8425,11769,2710,1219,left
8411,10838,16767405,12427,12256,4316,2820,2348,left
16745851,14247,16751145,13912,3079,4812,3424,1164,left
28480,7728,6609,11525,6240,8296,2308,727,left
20850,12362,16758133,23727,5864,4275,5168,1511,left
16770876,16771650,16754648,8340,8413,11833,3382,1425,left
4901,14735,5389,5649,4311,3470,2337,1777,left
13232,13557,16766327,24411,2818,2713,3493,2323,left
30049,84758,16750991,3702,4219,14295,5154,1969,left
16765730,17709,16774515,22592,7118,9916,3142,1923,left
23305,29521,12844,18042,5155,8319,5527,1192,left
16745901,25388,18142,17268,2181,10365,5642,1466,left
14372,18482,90545,31234,11415,5875,3227,1485,left
1702243,25064,136184,12834,12967,14889,19449,10506,left
755752,20132,10382,27454,15801,22648,18652,7397,left
784878,154121,7970,2986,15214,14026,6270,6025,left
16763569,16750241,7719,23276,7529,8596,1434,2210,left
13535,28828,16745530,5494,7285,16613,3880,2259,left
27605,6803,11098,16272,3056,10108,4853,3013,left
349653,132235,73150,16388,10158,26106,17154,2453,left
2105350,111844,26084,26751,13967,13940,8862,4284,left
68100,14626,16758830,21614,5867,6382,2447,1919,left
27068,76270,16227,21121,6536,4162,2233,3910,left
587584,7815,8740,16946,4223,10858,4698,2782,left
93679,28387,11222,9458,9190,4222,413,604,left
2368646,49383,14706,7826,15737,16319,6857,2368,left
5873,17473,4892,11562,3798,8373,6830,1730,left
30166,4975,6678,17283,7151,5445,2629,1123,left
16750634,19142,8856,17520,1445,12120,4929,1196,left
16756844,12125,1866,12582,10514,6411,3033,434,left
120950,78800,16748526,16752467,26235,2768,18282,3136,left
22423,16760982,69855,16769957,6598,9747,1102,2799,left
11778,23314,78419,9710,3541,7616,6266,2633,left
16775999,16750918,62677,16765585,9965,8768,7588,1062,left
98064,8201,17540,8695,3415,2682,1354,720,left
18540,18919,7665,16769058,3679,4088,2304,1315,left
72792,158875,108982,6117,20840,7408,1968,1565,left
16763371,16750345,16774092,10878,7552,9036,2396,1847,left
16757666,17596,16750121,16751200,6410,6244,2851,1063,left
17194,24645,30840,8182,26668,6225,6648,1126,left
16770530,16749922,10246,31052,6117,5059,4194,2021,left
45818,116844,82764,24286,9970,5861,3862,664,left
22423,16991,93729,16750467,7941,2198,976,1297,left
16752493,16771710,2410,3243,9007,11712,4219,1610,left
155804,81686,11406,16384,4970,9705,5650,2157,left
93231,88536,23936,16757108,12053,17274,8990,1868,left
12798,12441,74403,11342,2419,3556,2223,458,left
31492,29899,32072,16746784,7931,5135,4629,2351,left
16757037,16761763,69399,16761098,5620,9678,2826,967,left
16745057,19364,17577,20335,6961,8453,4721,2042,left
25537,16758759,35255,6833,2962,12409,4521,1299,left
4433,17946,9024,3888,8637,7005,4033,2302,left
10894,21756,12102,7452,6572,10279,3023,2008,left
71985,70665,11169,11290,10168,5870,3087,1130,left
18884,16748498,16764376,16756449,3631,9358,6042,5202,left
21572,16765505,16767259,74046,3932,18262,2327,1173,left
23997,16751099,16748437,16752566,6767,5535,13051,1329,left
26291,16756996,89347,9963,10341,8324,1528,1058,left
16557,10640,21622,18573,8383,10820,3698,1358,left
16752771,16770250,24596,8958,4878,6743,5820,581,left
16764766,85083,72289,21088,4507,3101,9273,2155,left
78367,13478,7526,12504,4785,2868,1840,164,left
82085,9354,9748,7995,454,1059,704,445,left
14883,78341,4947,15958,3916,14877,6724,5389,left
16772060,12221,16770737,16766497,7829,10908,2342,1373,left
21565,29087,18371,8538,6857,6331,3341,1991,left
16761142,5432,14794,5247,1383,685,1382,534,left
23350,16760507,16774549,16749438,7617,5106,2532,1414,left
8034,22050,13803,11765,9857,5205,4163,1721,left
16751825,79814,10559,16747045,4924,15623,2407,853,left
18005,14157,3625,7277,7440,6474,6654,3209,left
13704,67561,18737,8620,6148,7916,3636,3516,left
16769507,16747089,94996,8011,13218,3580,3443,817,left
1224172,359650,6423,32202,17967,29651,9363,8083,left
19261,16753997,5637,13158,6338,1353,1276,354,left
14050,13453,13203,8549,3849,7659,7085,1456,left
16761711,16748785,22336,29742,13081,9301,5371,1220,left
33441,107959,16756417,16752258,17443,19452,5734,3270,left
