delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
42292,21009,10813,3428,3297,7283,1291,2252,rest
44136,43433,16758106,9277,16745939,12047,20029,5193,up
1245216,190177,90698,16766769,19056,16760782,16749933,7991,up
627285,30396,2121,12064,12012,11362,15823,2390,up
1663139,389315,201303,9325,15149,16767292,137907,31406,up
178331,13195,1921,1704,3089,1849,1976,442,rest
16769576,16755175,25664,28439,6613,10675,6619,4403,rest
125722,9936,1270,6994,3806,3443,2499,708,rest
171337,62175,8455,31122,16060,14659,2916,1883,right
439853,16764584,14680,18148,16869,22716,14152,4961,right
52428,22886,18678,8810,15115,7634,4536,1181,right
8808,16767499,4903,4780,7369,6391,2310,132,right
16770902,16757394,9984,5364,3227,1758,505,257,rest
946793,77635,12419,16757076,20419,16758381,20079,3052,down
72334,7082,6219,707,635,658,1552,662,down
834726,80409,16751740,16746218,13343,22694,12576,6723,down
86297,43851,16762875,14380,23759,14865,8195,7953,down
21775,17811,16746710,14570,12365,13286,3822,4753,rest
97588,16747435,7106,16433,22906,24542,7716,2126,left
94554,16749498,12448,6625,3713,9072,3884,8633,left
84999,9442,7041,5238,3376,8557,7242,1797,left
665282,79770,16760195,4324,13492,17470,2914,2179,rest
36618,158160,16764002,29069,10473,18571,13256,18283,up
543470,16766512,13615,4186,7399,19269,15105,2976,up
180282,247168,217951,16774952,9091,16756951,22511,26323,up
566201,16763142,18512,16771009,24816,20523,11884,4120,rest
13346,16746960,24857,16748932,10618,8656,8487,987,right
18679,12417,5822,12789,5584,4608,4457,145,right
445044,11578,16759851,16748426,31778,15504,10010,6035,right
150718,16764380,20381,10544,16528,20255,5727,2140,rest
70882,32236,16749093,8564,6896,11831,4665,2479,down
554087,16756446,16754897,12335,8642,15980,12660,5247,down
139054,142565,69147,31583,11645,17619,8693,6297,rest
142996,11666,23420,14486,17565,15638,2875,2468,left
79905,16750180,12929,5554,23315,16745908,9231,8602,left
656197,137214,1825,13607,20734,16753796,15290,6134,left
149832,16752348,2498,8004,4417,3713,1402,372,up
1831299,995134,154611,35870,16776369,71798,75779,11339,up
47119,16759905,8052,1817,976,3030,1811,2769,up
67810,21636,15425,24706,3475,16750794,9164,2320,right
16747785,80875,7233,28030,14230,14600,12038,6775,right
101587,249202,16760417,20514,22508,17028,11529,11570,right
154726,39517,5965,20360,9307,6016,5165,2369,rest
477589,83084,8603,12278,15664,10290,7938,5008,down
285114,49742,31258,45670,32366,19464,20261,5764,down
90470,68952,4347,9930,16766,8323,9273,3945,rest
77942,25253,3859,9590,1911,3440,2865,879,left
1611832,98142,27925,16752989,24763,24617,20707,19161,left
16747134,84879,27546,16756199,9777,10941,8828,7452,rest
401124,114948,115675,50560,28809,16747130,30939,13497,up
178025,17936,2747,4640,2580,4601,2994,568,up
293468,75759,767,450,735,2473,4639,1590,up
108131,63492,15231,17802,8993,15453,8701,3295,right
590303,152218,19764,20732,16764138,29331,8161,11533,right
146553,15246,3159,1857,3908,3246,1185,172,rest
163536,130644,17756,21627,5620,20424,8846,2560,down
57711,16750285,8638,16766156,16759012,18442,7235,2522,down
237603,16767321,7589,67010,16398,21725,8798,2922,rest
293072,68797,14034,3021,22123,16916,7932,9273,left
10988,94828,14112,16062,16749232,17172,13235,3822,left
350010,18844,16744337,27624,26115,27433,7816,3367,rest
147603,39008,29327,21777,16986,27657,21550,5278,up
954273,212437,16765046,7955,3792,8913,22031,4510,up
1001708,34938,16746409,19678,15154,16750726,22106,9291,rest
16747773,7828,17609,11477,4432,3681,2725,489,right
140300,35042,22388,22271,15591,19833,14023,9441,right
493536,74168,19803,16775417,30420,16573,10041,9377,rest
66997,16757784,7876,25780,15438,12596,3137,3986,down
342633,55590,13970,19846,22374,8454,6222,5331,down
372217,246774,8439,9913,18685,16262,13113,4964,down
39763,31317,16755207,7393,20524,17100,5419,6840,rest
621321,84349,16747709,16745696,16753667,28109,9252,6679,left
168916,10617,7287,3351,7340,8282,2326,4792,left
368449,112041,16748596,10086,27699,19160,17169,6823,left
60795,16762105,16751861,14649,9514,14572,4442,2832,rest
340046,16772107,23297,10734,2965,5663,6989,1431,up
1436989,398560,271979,210729,16770903,96752,92443,28027,up
336959,59853,29073,16754197,21941,23419,23981,6554,rest
97061,16762224,28169,16767794,6038,12026,6678,7721,right
38787,23026,13295,8348,4184,6564,2943,659,right
16750215,96593,25849,28321,13401,13307,8434,6092,right
16772333,25835,11440,20929,13860,8001,5443,3107,down
373027,60084,29701,15081,12150,9063,14697,2995,down
640819,16748369,5364,22361,10800,10851,17234,7190,down
16746281,16761803,16745135,20999,13459,16746143,7136,5074,rest
76046,16759382,19924,16728,14606,16640,8045,2550,left
453786,16759695,18986,16745416,16775688,17836,16766878,4599,left
26472,17333,16761077,7358,16752916,11799,7593,6712,rest
68731,148555,25150,22322,11281,14313,7732,5223,up
1800017,108955,62248,70191,16754692,16760707,16776853,7263,up
1001608,99221,6582,27629,26821,14801,12790,12999,up
475316,118482,3743,16345,19244,19214,31120,14601,rest
38721,89526,23638,16760055,16758189,13186,11687,2845,right
658480,23465,7801,11110,3812,3545,4385,969,right
454244,30787,6464,5896,25139,14131,12874,9956,right
16775672,28159,5294,15849,6082,12184,9362,8002,down
89719,84829,16744856,16760012,10500,7966,24566,15160,down
221996,16757814,14471,11860,4424,5012,7676,2590,down
74140,16439,7074,8875,19124,16406,5622,4437,rest
16751838,20886,4297,5232,3558,5006,2347,1155,left
1594891,65061,19430,6090,19276,20694,12611,6517,left
66800,12984,14741,8458,22646,12814,12792,4688,rest
416445,180444,16746073,11603,17257,13883,4590,3442,up
839892,16766901,13849,16042,7992,31911,9756,2159,up
284061,79017,14740,15335,6882,20308,26846,2898,up
54842,77567,12328,72328,15063,8680,7308,2211,rest
2206643,49357,22652,8408,27374,7093,10927,2320,right
111543,30806,18126,16753842,11531,19160,19244,3954,right
16748102,12476,27243,16746719,19695,9113,3346,2073,rest
36353,69722,10085,26767,9276,8231,4342,2212,down
16749817,16746111,15941,77588,16752896,18830,4561,7281,down
16771783,24307,20478,10129,17753,7588,8470,2097,rest
16768405,16775984,8722,18268,12540,14644,4529,3042,left
1014969,188297,16669,18278,15444,12995,15680,3309,left
178988,16757975,16299,19043,29582,18419,21171,6481,left
92020,24178,1902,5961,8426,4228,2499,596,rest
80200,15743,16751075,8510,13735,14290,7183,4213,up
527013,99719,20094,11420,7909,9838,8495,4789,up
2586605,154168,77351,286793,90612,48400,61035,27735,up
71721,16748657,12032,2086,3938,4145,4832,2614,rest
41155,24194,16748636,31330,18767,13422,6729,4791,right
128910,16763744,9789,8150,7068,3389,5833,2650,right
71277,65773,18426,17067,26597,18598,10427,2365,rest
1822904,165347,16746741,24711,20149,19083,12984,3309,down
233648,215092,97105,16773149,31686,16749196,14100,7026,down
16752882,16748958,3278,10177,20483,4846,16068,2483,left
32478,16754190,10119,21746,23732,18607,14033,7171,left
270561,112697,21838,17216,25705,15540,17435,3102,left
16768760,16748060,16754216,10178,9373,13124,6577,2314,rest
529911,2256835,132246,151455,16746285,78521,77527,16765834,up
370828,16767604,6559,6363,14621,8896,11152,5427,up
138660,16772809,9498,16775971,32254,14666,13205,3989,right
730845,26483,7567,7312,20434,22753,12666,5741,right
41417,29441,5468,1269,3298,2222,1477,670,rest
462860,144112,16747327,7685,24394,8072,14457,9284,down
46126,16759966,13868,88357,16773739,11993,17377,6200,down
188257,135433,12129,11014,28927,30125,13044,11161,left
216220,16774630,7414,17379,5531,4326,11345,1111,left
591473,80987,83251,16755846,32214,14461,20638,6000,left
16773453,19107,7372,69806,65989,16755492,16197,9233,up
1135252,2118161,147501,98046,79661,93690,80526,25376,up
1331417,347666,16744885,80417,27650,14927,18848,16252,rest
