delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
1080722,369729,16769026,100441,244671,489453,450903,100546,up
1320953,830538,332931,74199,51130,16774739,85107,80961,up
540188,337497,34722,16683,69854,16750249,27896,16140,up
863237,1441518,316525,201055,35233,228404,153533,132388,up
1014065,698057,376877,192812,16772826,267947,504213,199740,up
914822,374267,155743,274682,95062,57619,162567,16767528,up
478092,207408,25505,10605,26005,16745200,30975,16825,up
832845,345520,45429,16767513,16754614,16752480,82054,18179,up
1276914,1588296,607490,303350,164224,401379,269772,132072,up
868875,1815125,90739,352178,110983,347946,59634,76726,up
676311,162383,11979,16765052,16759642,27084,31487,18704,up
686990,205513,18490,16757028,72998,16774817,16749055,9161,up
1324778,81599,16776349,27013,16753040,18427,14041,16748159,up
818321,89956,14069,13652,2547,3606,2105,868,rest
431582,16750697,5423,12819,8580,5215,5530,2756,rest
96235,27055,5318,27826,13850,7252,2928,1521,rest
16744584,403222,304969,194156,33445,79268,68708,16765003,right
432640,10112,32600,8050,6938,3161,3508,3035,right
131147,10163,3493,9272,9977,3078,4559,1952,right
823147,590581,80311,66686,147443,29728,72576,16766246,right
230343,116271,16748467,21818,12916,7104,16192,7489,right
602876,16790,6224,4429,2737,3606,3728,933,right
536151,483710,67685,16758985,74559,16752769,66809,16767100,right
780262,227701,16760388,16759087,32403,22722,16747328,16765065,right
982277,84745,14976,4023,2694,8442,6042,3584,right
33904,177935,150259,16750644,16748844,22806,27803,24239,right
1412110,181132,15876,16745897,18053,19680,16748111,29968,right
367841,612210,112512,16760625,16757792,16048,16747758,7770,right
170918,16759162,7059,19307,16747070,20893,10221,3446,right
182105,61769,17042,16752714,15363,32368,12805,9710,right
86488,73474,15776,12933,19923,20413,4633,7456,right
1620331,34718,16762545,21232,20938,8774,4482,3264,down
1950903,667955,104169,30425,16772579,16754549,21088,8640,down
932532,79510,25540,16756178,25315,5131,7570,3775,down
492403,80206,23069,9635,15573,15473,16750348,13432,down
186104,16763156,7044,3537,6398,9976,11660,2708,down
206804,23363,243,4105,3078,3447,5996,2393,down
139735,16752566,4223,6096,3604,6126,2296,2871,down
109965,14732,4924,1055,3380,5449,3417,2884,down
16755802,16746773,16746752,16749687,7560,9618,29498,10017,down
98428,16745559,14762,4597,7198,20635,24800,7066,down
49431,101047,156225,22033,16762168,12476,24700,8946,down
690776,23379,10032,11722,10242,9099,3638,934,rest
152999,86180,30448,5888,4835,9960,5522,1207,rest
16748771,29905,2391,11004,5570,4005,1414,738,rest
41528,16748012,10867,2864,949,1875,1283,214,rest
1048637,48739,220579,16759033,16767929,20719,21144,14625,left
1384696,700236,282122,16749159,56757,16763182,92571,77518,left
646990,300461,249221,16745043,58996,16771034,16775701,16756338,left
16755266,16757806,7685,15094,6799,7062,8055,1703,left
1275846,376543,146719,94183,39540,29032,16744591,16764005,left
793149,79138,9650,27091,5566,6401,12025,12853,left
1198869,99125,19637,15031,17422,5550,6860,2216,left
1138927,16747995,16752137,12373,12497,4359,18392,5245,left
1340948,951884,240239,363030,191439,154095,266311,30348,left
12502,13892,506,3821,4927,1432,4636,1099,left
600259,405670,30605,16770020,38658,27451,16761233,16767796,left
1090123,219429,17793,16747684,18734,17087,31329,12454,rest
358020,16746871,16762312,27913,6783,9786,5435,2068,rest
16770865,19186,87825,12797,10580,5141,3069,2058,rest
16756630,108668,25902,7680,25848,4895,4287,3075,rest
112437,16769153,25523,16750601,16744996,24526,23803,3977,up
913454,200782,200508,202304,179105,71780,134118,46264,up
703754,797145,181325,75083,155272,16769535,127851,71087,up
431741,461868,271698,209202,77910,72012,77982,84241,up
204436,846742,397236,281180,83194,16765592,43835,16748061,up
1606608,739897,335925,98993,174180,70678,109662,16748481,up
349015,226571,31185,16747498,30331,8307,31876,8076,up
233997,32260,21080,16750515,24208,17342,18975,14046,up
855070,198141,84466,32343,16983,16755441,46901,16747292,up
761826,677211,71651,16751369,83171,16752873,68917,12110,up
69001,70474,11530,8098,26017,7463,13361,1492,up
900252,23465,21194,14822,9797,11030,3593,12187,rest
16747285,26535,20791,8163,19247,15088,1956,3176,rest
83020,16745612,16942,7178,10638,4275,1205,4319,rest
452498,16767828,38616,31267,16752956,26743,25239,4888,right
586575,17162,7777,4584,7163,1883,1818,1782,right
1506591,564454,212804,328839,101294,179309,140919,16753223,right
1821074,911800,60999,63497,70108,144104,16759755,16757441,right
3337821,693596,188026,152628,162000,16775805,123717,16748418,right
629193,189437,16758743,81081,16750106,26888,29065,16844,right
911946,451230,16744541,16752467,16764946,31651,16750155,16749520,right
1081916,293846,16748376,12583,7443,15653,30997,10224,right
1844771,1547607,79236,84834,16758944,16758959,16762993,32173,right
578426,97691,345488,16752261,16745297,16747518,87147,16761728,right
924011,102856,16755754,92373,11783,32281,16752963,15099,right
1021129,16753652,7472,23754,21762,23839,17178,14669,right
1007251,16776291,25235,16084,15273,9377,25747,5747,right
16757323,16757749,15178,19257,12374,5191,7303,1375,rest
73540,16755968,15547,18760,11155,7649,4800,2898,rest
49854,30921,18101,5904,5801,3929,2463,2770,rest
1078977,133046,12499,17410,11832,3217,2314,698,down
784540,283980,31988,16775244,8593,8063,9593,10768,down
2279869,16776983,22525,28149,31275,3909,11364,3449,down
894746,16747922,16761590,13235,10416,3463,13819,4436,down
620535,74972,26892,8384,3172,4697,15427,2419,down
1062303,52334,17838,11849,4835,3583,11265,3513,down
149814,18338,20944,15991,7804,21227,16763486,20205,down
1353315,170000,5151,14624,13012,30147,26239,14902,down
1732456,80515,16750404,20244,13300,21087,24657,8246,down
18803,71583,16746805,29185,4802,12993,24308,5332,down
717215,22405,26191,7152,9907,7375,21175,5617,down
1113276,311637,23064,5713,23391,11903,22075,3956,rest
16777038,78172,22350,20874,11291,6927,10501,2065,rest
16757976,16749736,18026,8407,23591,4573,4077,2178,rest
16761856,16773570,9745,6599,2476,12507,4149,1858,rest
988746,67043,16776578,27525,28472,16748226,24206,16755786,left
