delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
525889,361365,40083,16757748,84751,151055,16747314,8962,left
260481,102488,27482,29401,15872,22216,22007,11524,left
146046,16195,10895,12369,4875,3700,5611,6015,left
2292192,93547,16756511,19997,139102,16749701,23161,11561,left
332432,77488,30200,8881,10869,15399,30510,16669,rest
69656,16775161,996,20344,16820,19309,9751,1630,rest
22430,16754377,18795,5616,3573,6858,4885,2864,rest
439358,54973,3278,3608,2180,3804,685,931,up
1971217,1734524,415568,158215,546754,351432,407507,162337,up
200972,154339,12578,16744478,49282,70744,16758807,16763253,up
212036,453522,20041,83346,70373,88745,16767903,16767391,up
400043,291906,68309,72867,16746355,71013,135727,41976,up
603254,45663,49187,54104,79617,25543,79246,16767652,up
1360707,32892,64828,68585,16757519,44234,33354,16771876,up
1953913,229462,33015,208973,94859,155976,241664,66435,up
2535102,126747,880979,145788,122105,222857,185621,103676,up
496061,86872,147348,143961,95477,16769339,16773371,6997,up
16771959,107244,11900,24708,25110,16761165,16764239,10254,up
2023091,222188,15865,76593,16766241,49584,94157,16753967,up
685233,131922,2494,19126,31923,16752368,16844,7985,rest
138865,26660,19084,16752663,9572,11096,4527,6647,rest
76594,16564,3145,16744758,13667,13688,11437,2037,rest
387753,46724,29791,17273,16746318,28715,16747250,14700,rest
252983,16752058,11250,1045,15123,2003,3387,3208,right
2088244,199788,155242,26678,26055,16775249,39989,32294,right
777936,118564,9863,16753652,16751675,9709,25348,3827,right
227140,93406,2311,27300,7136,17106,12196,4774,right
1216891,312520,37239,16771949,36531,69605,83120,18760,right
354514,152410,160858,149888,78235,16764966,66715,19070,right
1304613,137290,1222,16757587,15407,13481,7983,9970,right
466621,67179,16762363,25988,12302,4443,19136,4386,right
242723,45710,1719,21377,6866,13282,6182,6039,right
630717,16771532,4405,11031,17142,8023,13240,9346,right
188762,104039,9002,8693,2791,10546,10285,12253,right
214759,16757950,1581,1524,1360,2604,2134,2440,right
16755667,16767014,11414,12687,24508,10522,2677,1417,rest
15149,19176,16753496,22035,1747,13217,2357,943,rest
24924,16757271,6044,82805,57785,95464,24930,12777,rest
676780,16752458,7839,5628,2118,2411,3377,507,down
221964,38807,16748642,10110,11494,8264,18631,5238,down
489667,454272,73568,148430,16758004,70475,25432,5561,down
578675,74381,3772,8554,12860,7602,4609,849,down
811801,16753283,19387,7601,10314,3994,24458,2165,down
419290,105643,16765634,19004,16760612,16748835,22612,21122,down
383146,139389,16765946,16746548,16755627,28117,15843,21536,down
1305823,552528,16753369,83432,16761693,19621,16769249,16640,down
193669,341223,22529,9275,5485,4919,6492,5854,down
95796,16749643,3596,1113,1171,1533,2169,929,down
830441,16749877,16748904,5025,6522,8028,7250,8514,down
624589,16765951,20094,16751863,15093,6150,4743,2007,rest
14403,26943,10904,4050,18961,5191,3617,3344,rest
16755255,25217,23307,1644,28201,8838,1749,1372,rest
880293,355291,82154,32838,16758070,82733,159236,16766465,left
938571,277991,16774053,26766,29516,16747991,23953,14038,left
1313854,1507481,750828,366449,327322,114465,56920,16767523,left
1871508,1056025,226893,445500,164895,92698,120096,16752670,left
681869,111875,152552,1722,16769082,26015,24929,16759701,left
16750789,28887,13858,6780,7238,5879,2945,5905,left
1275088,86494,145409,67331,16772584,10827,18338,16761920,left
1464455,448023,16756662,395867,132993,41232,115512,16770031,left
252535,279454,82234,16744860,16765240,16744964,16746547,12936,left
472756,915891,143924,68944,80902,36336,199295,16746566,left
1709695,399047,69498,200135,93058,94692,81440,24715,left
724092,280643,16752663,13723,26690,16747686,28141,16745337,left
275942,86751,10285,25530,18145,24484,2882,4212,rest
150885,13015,21676,19167,22318,14642,7425,1281,rest
57601,16747378,19854,20479,11169,15801,5278,2041,rest
777650,236164,73974,208706,32999,153318,151544,66633,up
1508904,453508,52447,200771,279023,56083,105655,75238,up
1295729,574468,123307,92488,260870,167421,444811,112618,up
288602,60875,96844,72655,16753791,71573,96763,31347,up
138125,91216,137571,16760311,66771,16747538,85157,67841,up
656160,16760932,7481,83290,19203,15755,23962,17142,up
1513924,405929,344645,54993,118661,150880,328103,40754,up
2041786,842344,184819,344966,282590,352864,318287,135430,up
122036,767411,177493,16764982,157611,155347,177372,16771404,up
253474,389386,75680,65500,16750953,29260,96001,27885,up
449862,273431,133295,27695,16758939,76000,37407,16744838,up
1852914,1621817,573173,165012,127838,372922,886611,108263,up
866214,16759086,16757705,16749035,16751074,25178,28465,24282,rest
77256,16749168,3294,29676,8467,7359,6608,4565,rest
74216,16766650,2100,2194,6089,8781,4340,1641,rest
57001,38067,18223,17159,15703,16762364,16765677,7779,rest
1278395,147303,10929,46119,16761952,12176,16747834,16761023,right
191948,113377,16757814,16744691,25922,16426,22700,14034,right
293953,116139,26609,16747207,14638,23653,68491,8033,right
1472717,834548,98541,117543,77816,16764720,89881,30248,right
569355,678326,32478,39400,16765941,16748723,58372,91417,right
1463187,265860,84568,72900,28343,73633,40834,13672,right
318856,140387,74327,30237,16752739,10356,16746528,6647,right
519509,101010,28649,16435,6340,11699,16930,3880,right
898478,16760852,16746722,6052,13324,8719,12431,7198,right
1841053,1000240,199669,67186,75574,16750664,66503,14547,right
1819025,267959,160928,16771044,17863,67681,23088,15417,right
1032770,496070,386268,80885,133787,194628,201009,69929,right
46150,16762382,13283,15940,13672,9691,5200,3596,rest
16756424,17200,13324,6388,2719,9036,3738,1379,rest
213850,16770011,16757117,13437,6191,12943,7954,1903,down
2133348,101127,18685,13067,22616,7832,4009,2896,down
1542264,354596,16747582,16745043,16752612,10277,16753071,8259,down
221573,68109,27721,18134,5283,7766,4757,2637,down
1169622,16744552,3397,11593,3629,5134,2665,1614,down
66589,14773,22938,10696,5916,8093,8758,2559,down
3618101,647700,172343,86532,16759084,67379,86032,20980,down
425188,71819,27986,20635,27527,18313,29886,4491,down
142566,218607,11502,6433,6354,8622,5864,2137,down
1188497,771701,150647,99155,31975,39118,16750028,16749763,down
423970,16745477,3108,13203,5802,5188,2875,3186,down
1437236,125787,46583,5132,16747284,21754,22010,10454,down
1492011,97442,27398,10020,27608,16768902,17124,15835,down
16750969,18701,24922,3206,17570,32373,8179,5173,rest
42443,11702,6661,2425,1800,1105,2591,589,rest
78648,24444,16630,4458,12348,7253,19518,2353,left
1334925,135148,16746520,95208,24384,16746190,16747137,13837,left
1786654,1424307,16747667,186405,577299,68336,91056,37136,left
1015430,275408,88232,16746150,23803,16745145,16764271,7811,left
1767488,459502,109345,125102,231659,41443,142013,76554,left
986472,495398,384733,90791,40364,85458,143451,79159,left
857334,831515,306553,186776,39901,136600,57267,16753572,left
1401826,1543955,59213,132995,103051,56704,124637,133021,left
609984,92784,70544,25678,70505,30000,16748557,12433,left
1028498,267728,22796,38731,145915,138540,71881,86269,left
1560659,2174205,1385483,406406,565091,391760,355012,58009,left
1896290,463594,55064,274087,88266,16758878,16769106,16752835,left
885147,20287,24555,18921,25343,6757,2844,2127,rest
44793,30983,27973,6681,23072,13017,18344,8074,rest
67782,26742,18561,16781,14247,13010,8290,3399,rest
1702260,630580,373278,196128,106180,418938,343084,84384,rest
925562,258405,16746158,18959,22182,16744522,16748979,16753325,up
208992,14784,7508,5614,3591,1558,568,1114,up
