delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
773004,420841,154242,149836,61456,16776514,97387,16744567,up
599637,16752354,181286,26879,16755314,16758704,16768268,78598,up
2022990,455030,110315,96056,248515,337057,120135,38417,up
555631,149256,16766789,58926,96499,50975,57468,79686,up
881601,338168,85270,75801,40991,78924,89291,26591,up
343193,146461,16767509,16744917,54428,66368,50626,31252,up
2735171,816438,118402,584827,112737,275802,212178,135354,up
875775,1432897,232837,16766729,84874,61109,63057,187340,up
204163,153106,31179,16748671,16772810,16759567,74605,68506,up
126052,147114,95214,16760914,16758723,21319,70557,16748089,up
1513703,448221,71319,99330,28900,88574,280994,16745982,up
1190944,268994,70185,116386,16749804,44968,16775934,26406,up
888617,71248,12068,11491,9635,6883,1412,770,rest
71900,15605,11950,11242,7841,3930,6947,771,rest
72896,16753532,1453,15189,7778,10421,4847,1294,rest
358017,829133,52267,41865,149443,68909,16749611,18903,right
333428,42112,16412,22443,9817,10949,14879,14842,right
1741267,525603,62787,263247,50163,146183,144326,98355,right
1016298,68190,78696,56191,29324,31184,16748873,22265,right
599749,317583,40520,16774041,134665,48829,93232,33710,right
533200,34072,16746099,23325,21620,20070,25148,16760271,right
40934,50492,8635,16744766,16748311,12744,17505,11434,right
1126669,51408,21139,16753454,16771096,22634,16744774,19648,right
135910,92025,6699,14445,7133,2580,12286,3237,right
1535533,760161,139853,16765496,16746079,65602,90916,24970,right
163191,16759379,16286,2504,4808,6280,9569,1214,right
1491207,74680,16762087,16755800,59121,31758,16761550,17138,right
279603,16745876,2870,7188,17517,14238,6467,5632,rest
603586,209009,88985,94649,26650,20920,16746151,16868,rest
1885377,680623,16746928,20254,6333,16754215,16748930,9093,rest
765904,262984,87311,55967,16756513,21095,16767673,26864,down
464046,1341307,53601,380098,154450,192495,533214,90154,down
427056,69476,16759117,16770272,71148,16750069,16744586,16748524,down
1500665,1979305,16760352,164079,89383,88698,33260,16757419,down
1902230,16758905,16754112,16774159,16765087,30017,16752168,29913,down
72731,16762276,24742,7512,12056,8871,10170,7594,down
225844,16760341,16757375,16745266,5649,11606,14264,4926,down
1417519,808984,37009,312925,252782,79235,300297,138573,down
530644,95294,94420,16765447,30588,11066,32616,21000,down
155680,77201,31892,29986,31353,10895,16412,2919,down
230344,16775350,23171,30024,16745197,11625,25156,6056,down
731837,602539,16775790,145891,16776264,44068,71462,20839,down
296953,90664,8985,16757340,16762283,10688,6106,10588,rest
16773517,32267,1140,7630,10029,4240,7788,1726,rest
38080,27647,19936,3061,2201,1660,1830,803,rest
423900,365613,643107,438454,198392,149905,16768960,85848,left
986385,104225,16749883,63788,16750587,16746394,16759759,16748281,left
2230783,302151,92174,36633,9719,40404,16755067,12758,left
1085752,221376,29072,16753002,16757141,22515,21787,18899,left
238717,16758959,73543,31012,16762214,20865,12914,22946,left
693572,182038,16753498,24454,28588,16745394,72747,17094,left
820386,232823,69782,18882,30353,18584,16751906,27170,left
230029,327597,16739,74426,16755691,18159,16866,14652,left
1891550,216577,16763408,16765062,16749624,15962,16745797,16752544,left
1108571,453981,43024,268959,85187,66983,142237,77355,left
2485757,413306,6726,51805,19032,27763,16755657,14022,left
1035909,170956,18078,14581,17776,17651,16752548,6751,left
217849,4165,3822,2377,4098,994,710,375,rest
152732,130724,26195,20440,24575,17596,26996,6350,rest
95670,14559,1307,7115,8188,9589,3061,1175,rest
