delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
2527962,1509803,675878,193243,834958,159003,138249,84850,up
308335,16760280,28476,25829,16749885,27012,21963,16914,up
555363,16774718,25946,66627,119058,95510,87431,144562,up
204407,29946,162567,16756287,16754631,62535,22220,13091,up
1230909,446635,146966,278794,118295,203913,336750,114571,up
1278850,16770944,154276,16753971,60782,97477,78406,16766745,up
1314624,96172,20314,16750846,45426,31569,16775356,16772285,up
625376,271071,68135,34133,29041,16765616,16749352,16745375,up
477301,1564349,97839,29836,108318,108425,93117,47022,up
273039,166400,51191,26532,16395,30888,29026,22596,up
460698,488697,16756966,155203,133111,398936,36449,16750418,up
1984924,198613,45754,16762167,46765,16760632,243305,16747768,up
807739,915811,211313,67896,116823,147067,144942,16751911,up
101414,19265,1420,2558,1859,1171,564,87,rest
209431,12705,12710,5609,13115,2310,2529,1609,rest
70556,16744393,212,14156,3325,5644,1581,2111,rest
1614371,129930,16745966,22148,14075,12829,21474,6155,right
964185,1052874,145969,77300,43995,16767667,16749772,71302,right
504922,987436,96090,16767835,16774761,88011,57331,16763443,right
731969,177182,361892,16749924,84944,16772017,67452,92195,right
1243955,133092,97502,26468,13918,25618,22291,6371,right
1668626,142333,82229,35649,35550,72844,36587,16770795,right
940083,19573,8508,3969,3435,3223,6344,2915,right
868482,107746,28945,82547,18373,6976,16274,23591,right
16756647,10186,8585,8336,3233,5648,10368,1868,right
301989,84199,27703,16766646,17751,10777,22926,8437,right
999977,201465,134855,26710,79655,29237,70747,17081,right
520527,92149,19961,16766509,6892,7841,10419,12883,right
46028,16774792,16754646,17534,4167,7451,14307,6819,rest
24216,16748018,19655,7718,12048,4941,3761,2146,rest
546256,56243,16749718,11467,29608,11395,4011,4369,down
1863080,16757196,7629,6202,6906,4572,5011,4933,down
535414,45978,10975,16756012,11567,25804,25892,6988,down
1095283,16763484,17554,3385,20049,13595,16746367,9957,down
1897729,54830,14400,19063,10717,17587,13111,24251,down
959343,16766833,35102,69210,22249,20868,32247,13939,down
16764663,85501,29899,10781,5061,6409,6810,2461,down
130649,200870,19139,26099,26018,23724,30176,11715,down
738201,10465,2814,2891,8968,5643,8319,1816,down
7592,23890,6917,9920,2834,11845,21441,13945,down
81589,11549,1051,1902,3372,4469,4551,6593,down
61910,15946,13395,18153,2325,4018,4104,2896,down
852855,393043,16758709,16749936,17850,25580,7273,6300,rest
120255,16758648,24731,12615,8366,8515,1841,387,rest
16753381,31991,12391,15495,11737,6330,3173,3346,rest
646601,815404,8784,15561,16769297,21060,28749,15415,left
593067,224656,148545,16747553,16766032,16745603,16751275,15063,left
1136159,76446,28775,16765547,16745405,17964,16745096,16256,left
142122,146093,11384,13059,8927,12679,15248,4887,left
855726,75199,6789,16772615,21641,9723,19446,8336,left
1342891,47379,16769935,26147,16747937,16757212,68556,24980,left
858006,370638,30563,171076,26653,16764761,16752564,16751321,left
1623184,180117,85568,16753664,16762023,16748216,74046,19695,left
2756482,710406,105180,73574,95951,16759509,16745052,16768634,left
712924,74595,26689,16761182,19829,8575,17213,8330,left
544993,77185,16755692,15490,13041,9333,20663,4321,left
1105713,513285,37673,71795,139762,72906,31331,13576,left
1315258,595982,211112,21826,16752441,24481,9232,8863,rest
1805498,208809,16772947,87989,16749893,16750971,13561,8957,rest
16768767,17602,9868,6263,4504,4161,1940,574,rest
421202,557085,255019,126116,23124,75380,80847,83413,up
168628,16754893,17017,7766,24035,9729,14709,10869,up
16772583,36792,20316,16610,11505,12028,19004,7552,up
863268,1423542,440465,103457,104541,107634,267482,80541,up
1071133,864472,223154,91800,290579,33415,251709,38265,up
331638,1463854,240170,210825,107218,215059,200124,306263,up
358883,2401068,628580,832734,315879,261303,251974,140830,up
1298041,159716,70232,94103,16774786,48395,129311,70795,up
182131,345801,16952,16747582,91238,24351,16754040,15346,up
1025525,137665,16754218,16753094,19031,16756410,16752583,17458,up
2407866,1074914,142672,270586,106077,299560,491153,196595,up
538123,77220,8405,26392,15531,14794,16752162,11721,up
1267585,16771183,27119,25049,16478,18941,1308,370,rest
72473,82071,18659,20880,9551,9076,3730,745,rest
16747836,32436,13947,14092,10006,3386,3671,1149,rest
2559555,209860,16749891,16754060,21932,16745100,83931,24543,right
590230,208576,16766966,29520,16755657,17512,21087,7910,right
995298,67039,16768886,30404,20203,20252,14212,7718,right
1059127,161822,183284,122272,91033,16744650,16775827,16754276,right
295840,212400,32008,27090,10235,22160,17783,9045,right
939726,294926,43743,68416,16767257,85628,35114,18467,right
61061,144457,9450,7066,6965,8246,12387,8729,right
1537433,434863,178966,113975,44312,16760098,47243,66667,right
63012,20381,3871,2213,2323,1241,3180,1006,right
246595,149173,21668,26280,8398,25614,16747506,18762,right
215360,16774672,28224,16748232,16774662,22867,23546,24535,right
1373750,777577,91375,161034,81204,80603,74001,26513,right
406638,16776127,10868,5857,2625,2349,1615,508,rest
285604,16746706,29814,31492,20005,6304,6373,1914,rest
156626,16753130,16774598,24208,9444,16840,3565,973,rest
204150,16749539,31321,10558,18026,6607,2146,565,down
489061,16775434,15355,3991,7788,5938,3015,790,down
601941,218605,16746987,5544,4399,5204,9573,2473,down
755889,182684,263514,15598,32036,8584,8674,4196,down
833803,557854,480198,16752294,13386,89690,85272,16747413,down
134134,131325,16773490,29724,11758,5198,5851,11820,down
841342,78210,16763425,4801,8970,6921,10537,1898,down
618471,85096,10186,18637,5891,3616,5455,2726,down
34542,31673,18755,4311,10884,4385,10227,890,down
174980,16762235,3382,891,2527,2766,6640,7154,down
171496,107490,16750765,12382,10553,30870,16767870,8850,down
327376,59722,10575,21088,10984,21722,16746237,10198,down
905166,134451,96714,13584,24963,12791,8342,3939,down
67215,6440,5871,2198,2168,1665,1016,554,rest
13651,27040,3693,8245,5485,7266,1353,708,rest
210659,66577,31380,7076,16753295,20387,23146,3789,left
530238,116514,9744,16774309,32168,12693,25783,9697,left
862209,951199,16765319,48043,83855,30306,95269,16749745,left
169289,16769718,17829,15940,7518,5563,7168,2625,left
347583,51356,30042,25279,16056,5821,13085,13338,left
1625798,133551,86367,16759635,33580,16753685,44135,16761837,left
1913772,923778,16400,16758323,16757947,16767237,32883,16750111,left
189493,523514,16766397,48547,16767505,29089,16898,15047,left
595439,16765146,4456,14033,7922,7006,6409,3269,left
2420733,715772,16775410,31240,16751211,19764,25000,14899,left
1393829,217488,20905,25908,10990,16744769,19488,11601,left
621580,107203,29350,20872,89595,14897,16752342,15088,left
1115677,89157,7054,16066,10073,19547,12754,3930,left
42766,71883,16759182,23971,28843,24554,5831,1287,rest
1167301,379263,86085,15466,16755634,12596,6244,5430,rest
1021644,427405,16744974,16749500,39865,18014,13643,12081,up
214077,32045,11913,19741,14670,15129,27446,9763,up
835104,552596,556086,239885,91205,255323,213246,338327,up
1648883,491503,183428,272833,279150,137296,279120,50127,up
625367,238383,89142,113477,134614,93939,149214,13185,up
593112,27311,70040,72203,16761734,16761333,89615,18912,up
908831,272962,16772292,25867,16769935,149293,35739,11073,up
41145,152673,5639,71611,25448,76659,16749505,9230,up
1007617,407360,7331,17438,18142,16749305,16754084,24696,up
290366,16754925,11785,10938,5981,6127,12491,2045,up
41243,16755336,18911,16125,21116,7088,15399,4838,up
511382,249257,81174,141308,36590,16771656,64708,16764311,up
677900,13902,5161,6766,10264,4857,2851,1048,rest
93109,21894,77779,22679,21509,2981,2254,1071,rest
71129,16748395,16743,5292,9750,4259,2982,1740,rest
30256,28172,10237,20891,7320,8431,3383,1997,rest
759378,104963,147025,16749016,16757013,42704,21554,9727,right
2841166,96950,16757552,81834,82294,16773492,44695,16752741,right
2404755,232932,78350,30531,22545,18484,8095,6037,right
795862,142939,14803,16774293,13221,15766,13359,2067,right
274936,66604,16760382,14862,10905,22238,22928,6154,right
709096,452028,560062,84626,84180,29642,16770477,16746721,right
66894,52574,27223,15475,12940,14063,19595,6044,right
1250655,342990,5740,20564,66781,18060,16751090,20216,right
172162,161966,85898,25165,72544,31135,25160,19782,right
549618,84083,24214,21435,19562,5687,8993,5779,right
1308996,35965,111708,116087,22922,16775353,16772375,22139,right
1078865,292889,91822,81941,84709,27848,23629,5801,rest
49677,32560,5064,20386,3451,3275,3454,1626,rest
16765265,22156,4553,13384,10913,6495,2539,2141,rest
60782,57796,82729,16759630,30146,16745933,16715,4729,down
690665,108622,7646,12106,2426,1463,4088,1793,down
197732,16773451,6910,2807,8723,1491,2144,659,down
329801,31726,6790,2239,1111,1316,1967,1347,down
1279723,363362,66984,20577,16813,12146,22865,4254,down
1793845,16745684,28002,73308,3376,13597,27105,24892,down
782920,339708,16751971,68286,9485,22395,16751627,8600,down
836397,119385,16758254,26437,13213,17599,21034,5113,down
285229,148358,10987,19130,11003,22386,16626,17503,down
651502,156941,3487,27193,8655,20769,16749062,13063,down
353468,16773724,27314,31610,7379,29287,18974,8747,down
55956,13999,6207,4609,4268,1001,4253,1621,down
229374,16748915,4418,941,794,3958,1734,571,rest
24490,30710,2741,9622,5768,4760,3327,2859,rest
1010882,491140,76787,54623,70769,80703,16762475,14445,rest
262663,42983,14032,7132,14683,3632,1976,1002,rest
856811,581674,319829,52609,134583,78053,158741,23800,left
74927,137693,16757301,8567,16135,14122,8093,7913,left
1286669,100996,50278,120643,16772925,16767491,16763999,16753256,left
784018,142183,52914,37318,23188,14982,22549,17528,left
1062862,104807,46535,16753343,9423,30872,13891,21512,left
728398,22000,3428,7552,7286,3017,5089,2797,left
715146,118998,16759605,16760968,28209,16747212,7895,8198,left
527113,349401,19304,16763871,9342,11704,17551,8136,left
551239,55639,27904,19186,5383,15561,12555,26305,left
1553977,893349,131696,159531,68908,198327,16758323,69034,left
128763,734469,93266,94306,16754280,16750583,16762617,14769,left
396771,16756219,16766626,16757484,7088,26186,16096,6690,left
1405457,340297,83450,140342,269940,267854,16776893,24852,rest
782101,214215,65497,6497,16746169,9900,9962,1995,rest
16776361,21143,15844,6648,2693,8058,5067,1213,rest
891388,181437,33347,16752911,84767,16754708,16768446,19475,up
242559,96304,16768576,16753843,16760157,16769525,16763071,16759638,up
82499,16755942,16756307,9160,15887,30534,29349,14031,up
655406,481910,16759046,159534,87271,160970,197751,16764668,up
1747316,364428,1129898,327460,262496,127192,254772,183288,up
732308,315569,162791,68563,16748010,90171,71747,25555,up
276818,577804,136780,89297,72003,16747185,16771014,16774683,up
986008,317323,198702,60399,44868,72369,137666,29497,up
29763,19510,11216,15335,19488,5240,23883,13267,up
1820892,180480,45910,16753157,197970,481970,151281,16751274,up
938486,518736,158171,36299,138417,125931,147557,16745783,up
753287,16769250,16772913,11282,19592,4687,2442,2288,rest
2457505,594378,63213,16761027,16760770,16755728,18616,3125,rest
24190,16759011,6780,7727,16453,6041,2913,2004,rest
16756093,16746872,19151,9133,3820,7184,4151,1119,rest
343450,16762850,3221,11402,13788,10513,8546,2089,right
603925,510575,187730,16763397,52735,44809,82908,16752368,right
1871365,289928,198587,13365,191224,16745835,16750731,32157,right
1148765,82947,47171,74885,13601,31278,140038,7905,right
66907,22604,2725,2436,1198,2099,2816,1057,right
1003284,87582,30346,4371,19000,4407,16748903,6923,right
1126752,127096,44125,190768,146087,218617,61299,83252,right
16746,11898,4677,4808,2012,4489,4182,1169,right
498491,22282,1372,1165,1309,6286,3189,1788,right
387469,16764422,32311,5361,6180,12434,7341,7569,right
894542,642101,16773130,69311,16745073,29454,49330,15066,right
1057053,26817,14133,24910,16759015,16584,9986,1831,rest
285794,22162,7059,32411,9067,4077,2970,1453,rest
246047,93401,16751911,16744619,16748094,9776,5223,3903,rest
56141,21352,20906,25389,10604,5727,5186,1024,rest
785779,30325,8803,5419,4459,1857,1379,147,down
494346,93794,9863,16753598,6856,5723,23696,4113,down
599744,261024,69947,9173,7915,5444,12067,4410,down
888013,101173,16751372,7850,13833,16226,6611,11692,down
943501,16761483,12483,15299,4665,9900,11798,4137,down
1131567,86899,13209,16751141,15433,26232,16753002,31341,down
957624,431891,23433,16748200,29772,10790,23179,8506,down
94270,192379,52455,18943,21987,16754307,16745598,8170,down
253048,112012,10991,16760159,11576,8186,8295,3011,down
512177,86946,948,10173,3787,3274,7311,2053,down
140579,102571,61466,27119,21774,31891,16746946,14878,down
670527,16762497,14221,16752282,11790,16757104,67121,9414,rest
