delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
578057,68130,7231,96812,11113,26577,5458,1966,forward
192502,16750632,4313,2619,6066,3407,2376,956,forward
187018,32054,23782,16764041,24027,13091,6102,2432,forward
525372,150898,157028,32276,16746756,16732,7513,2510,forward
139528,16765778,1125,7595,4055,6706,5804,1633,forward
134304,16749317,1555,6732,4182,3001,1262,769,forward
139021,27115,21594,16750331,8621,10798,5858,6149,forward
99894,66548,12026,7363,3212,3414,1577,2459,forward
783970,54878,17306,26084,18584,16754192,21627,12411,forward
1982018,80285,26877,10972,8766,19691,13027,6405,forward
687357,179654,78576,16745181,20037,22085,28595,9461,forward
894289,136494,5459,8557,4995,6942,3052,3422,forward
1747703,115092,172129,16774808,16767308,13873,21821,5644,forward
1308688,131400,16755437,7949,14973,17654,4508,2201,forward
178929,153070,19881,16765158,4316,13685,9441,3827,forward
497165,87936,16760277,89179,16759100,10851,8380,3667,forward
149864,25093,2571,2210,561,1483,1826,160,forward
678575,16760210,9274,21803,16109,10152,9633,21677,forward
1059502,137665,17528,20486,16748003,30104,18559,3398,forward
605953,287659,93009,95887,21701,17243,16744675,3897,forward
422051,48199,16764601,20383,29078,22095,10051,8216,forward
95062,16749077,1178,1865,1723,2297,1753,886,forward
732291,228082,3659,18809,17510,23453,9670,4448,forward
439830,357067,14385,81594,15488,27727,13842,7850,forward
600347,85697,11174,32330,2268,5114,5613,851,forward
148939,16758507,1808,10608,7571,11253,2556,1422,forward
636423,241296,30596,26646,16746533,28812,8738,6814,forward
36769,12081,1988,3669,3839,3656,783,635,forward
16774105,411992,10400,11561,13948,7571,9138,2934,forward
564219,60660,10526,16746639,17084,16763535,20227,9341,forward
302164,132925,23778,16764696,7276,14358,16245,5474,forward
667241,149862,6489,16447,10003,11611,7244,4746,forward
1364848,304578,186441,16757157,20676,19626,10770,28644,forward
931472,16753723,16760992,26486,7434,12697,8822,3045,forward
658600,109466,15255,5887,22944,18161,19686,7685,forward
958449,133873,16751842,16746164,9249,23935,7572,3280,forward
2535901,216094,4121,9354,10624,7779,20462,6768,forward
107301,30270,16746390,16764133,19244,13439,14028,3340,forward
357705,100037,20591,24623,2362,10715,8338,4698,forward
517757,13253,4688,7688,1236,4828,2866,1566,forward
146978,79667,7164,4235,4953,3732,2344,2142,forward
141689,33898,9112,25688,16746507,14509,10108,10618,forward
1578702,141685,11754,16473,14897,20305,24483,3803,forward
74737,21388,2865,1456,1369,7601,2778,193,forward
572357,16764818,13391,10485,10973,8075,6569,2706,forward
111201,85150,16755221,11010,16606,8029,15457,2168,forward
494188,433679,30119,16766532,16764784,74416,31860,7738,forward
339032,142081,4978,9688,4479,4985,1240,1014,forward
36174,86245,13245,28593,10504,15102,9073,5843,forward
16774744,16760674,14481,16744488,17728,12611,4340,2727,forward
361017,64939,29203,34870,65528,24024,12390,7942,forward
81940,16776254,9266,79524,15837,10607,17538,3163,forward
805574,16752414,16751411,31493,13343,12912,17834,4114,forward
1005069,66138,16746232,16751257,15629,16756274,13638,6940,forward
1237234,133891,15822,75156,9753,10077,16864,11670,forward
34477,32183,2805,16185,15932,14726,6441,9696,forward
135853,13643,5372,15371,2856,1387,1760,252,forward
16765212,16744463,16753284,16757374,13068,18845,9277,3957,forward
1369538,91719,9449,5034,12860,8525,13133,4174,forward
688414,282802,23599,16756782,23271,21394,14217,12139,forward
626922,141384,16746034,30868,16431,21153,15466,9972,forward
16774988,16748571,7350,17055,10075,3224,2650,396,forward
753070,16772249,13553,16746939,8539,8313,5941,3487,forward
1292911,91666,30395,30350,20573,26635,23206,2490,forward
128444,67962,1949,19307,12657,6355,10803,1204,forward
631121,16772595,4270,17567,16773448,30517,11974,2601,forward
404453,15795,16747864,31831,16766247,22916,14382,7531,forward
663403,51771,12925,12805,7509,7000,3455,1256,forward
9134,30525,3577,11234,1480,4433,1453,1711,forward
16772559,24433,2213,611,1211,1186,685,307,forward
680666,386092,30962,21450,16761414,16749070,16732,8260,forward
333172,246386,16764002,69275,16754439,29138,14124,19328,forward
93782,14082,7160,3968,894,966,3488,152,forward
141473,278874,16776076,139036,30172,28421,16749088,24236,forward
722540,16756806,69087,9030,3457,7901,11243,5598,forward
1872267,127208,37093,16748850,28812,32035,28835,21624,forward
86190,62671,15783,11061,7649,20626,8210,8133,forward
394957,23117,15483,5544,4801,5450,2894,510,forward
172982,18219,6706,4917,2155,7617,2659,1392,forward
2401965,393779,19300,13327,31887,20957,25412,13438,forward
476534,545280,27964,16777039,17923,19547,16753268,21064,forward
344348,70664,9147,10131,13556,8537,16239,4936,forward
1867391,105293,61299,16767645,16753984,21167,25118,13318,forward
2245203,17689,16772419,31100,16144,14032,10046,7692,forward
147488,16761379,4525,6501,2987,9119,12336,3348,forward
722879,16631,7730,5748,2344,2609,3049,2366,forward
68333,19895,3368,4890,850,2377,1912,381,forward
194704,534260,72737,16753572,25477,16766651,27584,16750321,forward
488491,220069,73850,26631,16746154,29696,25752,11911,forward
421414,147983,16776805,32441,16749041,16747072,12233,3107,forward
804186,117276,16752344,88653,21047,17914,31380,18382,forward
283576,16764476,2509,6957,698,5759,4918,1251,forward
173141,194619,91682,11546,21576,23092,17982,7166,forward
1870573,172008,16757802,17665,21013,16765509,21163,6912,forward
1734566,349807,29495,16776152,16775963,17529,21251,14737,forward
3288594,563468,40065,230972,44540,16774484,101776,147447,forward
1817110,82938,18271,16763843,14464,19526,20149,8202,forward
250090,53801,145656,23670,16746394,18351,16747948,5368,forward
1056110,752060,464175,283894,16755299,41773,37403,15904,forward
131070,16764400,14480,31780,7960,8676,4189,5531,forward
