delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
906984,24071,5128,17943,9016,25042,12693,6708,forward
71611,11964,4003,16745925,11563,14907,8037,3000,forward
84898,93934,24581,22684,30687,23190,14296,19837,forward
16744427,26453,21114,21400,19299,12674,16573,3222,forward
36756,16746987,3980,16755014,14718,6641,7546,4084,forward
29085,16749,2913,19667,12908,15459,9283,2935,forward
56989,25630,11485,16755473,10704,14435,5610,12670,forward
1320476,355286,12756,28388,16776921,29298,16771991,4297,forward
271420,16772635,1798,16746462,14966,27911,8112,10682,forward
1130854,276342,104282,68211,23386,16744651,17987,17252,forward
138750,19022,3911,13801,5307,23293,5236,10161,forward
36492,23127,7971,16760808,13159,11939,22810,5848,forward
16776375,28674,6885,18857,10276,12206,29187,5742,forward
28080,27140,3306,28148,1864,15206,9045,5731,forward
16745864,17360,3717,10452,11119,16641,10754,6966,forward
16759087,16751370,8610,21537,8917,12729,2743,5633,forward
16772052,21892,5262,16757033,5677,16835,11300,3693,forward
11105,15340,21090,24366,7424,10696,9669,6246,forward
38208,75724,3778,31978,10455,9355,13191,10562,forward
202383,36240,10619,14260,20369,26350,19209,21419,forward
90715,7666,1881,6034,1922,5461,1153,936,forward
767362,87154,5588,13170,26237,15805,17911,7133,forward
59342,66914,23378,9572,18984,8882,12909,11435,forward
663594,16768938,12367,5345,7690,5646,2641,3832,forward
302670,15464,759,3087,14241,7327,5251,1227,forward
238035,19413,14776,4929,14711,8643,7402,2136,forward
181372,16775768,1465,2571,6481,4641,6928,1669,forward
16748242,31794,7684,10880,4523,30055,15525,9083,forward
742028,9379,715,6718,11546,3572,7468,1374,forward
2065406,200954,16750198,21733,76236,26014,17653,8988,forward
16760776,15193,8704,1529,1973,7453,3191,391,forward
24612,14401,29863,16747457,14106,9083,11516,2617,forward
23609,17958,16906,29604,7919,8783,9918,2985,forward
16769708,16767074,16748437,16747351,13951,14380,7265,2688,forward
78499,22673,399,3895,2025,4515,3341,1815,forward
164475,6091,10438,4566,6174,3182,4424,3253,forward
168639,16748122,16761351,10379,9475,18148,10260,13276,forward
441694,16749178,15055,17626,11023,31874,19650,4733,forward
58252,53758,13232,16759486,18586,29808,22093,11046,forward
358905,89081,28560,8995,4713,11185,6766,7901,forward
333907,16766757,16767778,80027,16756579,20123,21344,18002,forward
1993824,16765080,13059,16760231,7255,19002,15153,12681,forward
68298,16746291,1809,8158,8513,20161,7468,7285,forward
