delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
353633,85298,69176,16753251,20139,6138,2465,6312,forward
16763639,3365,28403,10018,11461,9501,5556,3153,forward
12287,17902,24053,22966,12711,4962,3714,5108,forward
58283,6560,2413,8179,3261,5691,4147,1808,forward
1773006,234632,64409,16744988,16756424,16764791,16764788,23964,forward
1498237,264323,32714,197649,45702,62091,16764602,16751434,forward
16750175,19151,5368,4295,4309,4258,1853,1097,forward
16769133,16756206,5152,16751054,14030,5616,5061,3137,forward
193446,16750940,3572,16745373,11898,12866,4785,6752,forward
381913,358620,119699,356818,300412,164347,58377,17905,forward
991784,16767550,15392,5977,18936,13558,1922,1184,forward
99157,72468,16748986,16767574,14911,3835,604,866,forward
381720,23490,13706,4078,4715,2252,2724,1345,forward
1129000,89374,16762011,111385,18344,23753,13311,3072,forward
60402,22133,16751221,67516,7660,12408,5526,4193,forward
120680,68933,22503,20775,14922,19590,22331,8030,forward
710918,16766081,9437,16759955,9796,9246,11948,5678,forward
942380,223183,20249,16752961,14233,12934,17178,4430,forward
16771231,16750026,5707,3311,2784,1669,1444,845,forward
560908,26754,19395,6733,11959,12529,4314,4047,forward
1143735,16764762,22054,24813,17003,8083,11786,13586,forward
398862,51942,7408,75748,29464,9705,4084,4044,forward
2124292,155204,16376,6511,31701,8862,15208,4725,forward
1871022,235945,16771199,92638,77222,73373,16746964,9952,forward
793630,203584,55804,16759574,15751,16458,23301,6286,forward
462088,17599,12869,4922,7215,2751,1250,2424,forward
68193,16772513,15998,16757385,7283,8788,1439,3146,forward
1043368,60811,11294,19213,14855,15144,22259,8528,forward
731317,112227,20976,32454,12412,8705,6306,1465,forward
398520,16764442,10626,25002,21136,10386,12426,7440,forward
822146,140657,17647,16756359,12501,16814,11201,2747,forward
1808880,53860,20112,16765592,23804,11276,9955,2636,forward
180037,16748833,16771435,9883,2614,4867,5393,3329,forward
442602,69521,4687,10437,7146,4701,2355,970,forward
68482,18987,10983,733,6736,1703,2885,196,forward
348859,102148,2937,21031,13980,16558,18022,14746,forward
209950,16770534,7530,3848,5229,4022,2126,3411,forward
314687,37267,12653,16768571,15152,12692,8068,5378,forward
859907,63181,17574,25224,16747265,12141,9663,4168,forward
234702,89961,7639,16748367,18307,13848,11350,5573,forward
703364,134324,14685,16760018,12787,16854,11619,4467,forward
51172,16770992,12172,7521,6451,5517,3328,981,forward
1533746,193813,62014,22468,16763570,32369,13831,10623,forward
426782,125853,84981,16749368,18096,9490,27380,25099,forward
216022,30256,16766544,26956,14501,12881,7664,6473,forward
1041694,276564,16755439,16744773,16767780,16756490,12406,13306,forward
883647,174758,16767979,28610,16764218,18126,16733,8355,forward
731347,16750737,791,8314,6876,11806,4709,4697,forward
958295,19156,3851,8261,5622,3383,3208,575,forward
855702,103544,16759644,17796,19007,32619,16745432,10445,forward
139409,15052,6144,9800,6442,3937,3705,603,forward
1029572,66354,27996,79359,13965,22333,11826,1175,forward
158832,68461,16769775,84132,25839,12992,20570,8072,forward
356222,137834,9983,26065,24607,8396,8282,1953,forward
164096,16775978,16766873,21637,13988,18760,7764,4705,forward
404280,18045,14341,9426,10151,14487,4742,5667,forward
957429,42189,14061,13500,12577,16744427,14754,3547,forward
999985,16749975,17594,16748285,7071,15339,12895,4525,forward
1372474,35410,18623,16757492,16754333,15237,20966,9069,forward
628132,87696,16753709,93337,78089,16745602,9716,1982,forward
1718558,42127,7251,15933,17634,17981,5995,9563,forward
727019,202601,31954,30735,20254,14670,5176,7162,forward
16761900,16010,17939,24121,23352,14176,17830,13178,forward
46472,69246,16749438,31760,25202,17509,15608,11498,forward
553806,136177,10986,15504,26261,18140,5801,5765,forward
193549,16751022,140055,30914,14859,20663,14827,4770,forward
271127,14656,11558,12029,4323,4920,2537,892,forward
583818,17817,7260,10661,6720,3832,2389,1500,forward
154922,16746463,16750280,27138,13525,7813,6808,5730,forward
84023,73747,15063,7704,22628,19492,22285,24499,forward
576164,115668,72734,16746731,16968,15600,19621,8205,forward
16772686,16756766,16749805,26163,24120,11795,18253,1834,forward
415363,43136,19262,16744418,12475,16299,7623,5791,forward
16758548,30045,12221,25978,15768,12444,8760,8059,forward
16745914,17521,17508,31423,12082,22033,5207,2644,forward
439190,76565,5517,3653,2572,3275,2818,2591,forward
61156,16764658,15351,5341,3740,4026,7374,3264,forward
94992,15509,13331,17541,12038,14908,5423,7183,forward
553444,138065,16755078,13941,23420,20794,24012,3802,forward
206912,18642,6304,6748,7486,6592,4470,3028,forward
308313,11020,15205,10058,10338,18157,5826,1959,forward
518461,22938,16768524,27815,26231,29547,10771,5749,forward
584207,462246,16771541,10830,24175,23802,10550,12549,forward
715403,81400,7429,16748177,17964,23907,9949,8120,forward
539008,16749797,2794,14713,7204,4561,1843,944,forward
508066,83672,27977,16750794,6893,13340,14436,6566,forward
1046152,219270,26284,10593,16750839,16747,16185,12440,forward
191785,84068,16746096,16749671,23967,10233,7044,6298,forward
58998,9283,1240,5519,1740,6436,2734,594,forward
16751676,16763593,16047,16744786,14688,18360,10982,3444,forward
899978,16747805,9362,32264,9528,17609,23087,17828,forward
102219,16760823,8006,24291,16748127,12009,11282,7169,forward
575589,56927,16745528,16774292,16753594,18836,9752,6125,forward
206168,16755266,30616,16520,7342,3824,4772,1568,forward
506103,16768738,29981,16744598,10247,23736,18398,16871,forward
952153,40209,4189,31241,26940,20668,26380,5375,forward
