delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
248358,151161,16772045,30473,11625,11867,9040,9857,forward
16775782,6291,11987,13904,15378,24367,14242,23907,forward
291248,72881,16748461,16760791,23304,15289,16753585,5568,forward
16759745,144702,23455,2557,13971,9522,8910,1576,forward
345409,3377,16777181,4128,4608,1223,1572,436,forward
603742,16766950,6778,5883,4354,5579,2546,3319,forward
83741,23059,15253,3723,2955,8963,2761,3252,forward
585448,69265,16761435,11237,28887,21507,20275,12352,forward
266074,503000,20084,31905,14532,16750432,24529,12567,forward
651969,281772,12012,16776446,76858,16745478,29418,10803,forward
783257,111794,24091,67347,13254,30483,13981,3374,forward
79400,29463,2054,12125,4221,4573,5066,1473,forward
151582,68129,4744,3647,7429,4944,2832,1081,forward
162878,93782,13439,4560,6652,2396,6732,2652,forward
731223,51927,18212,16757857,18844,18676,13787,5064,forward
1503451,90918,16749214,75021,16753894,16744710,13773,6484,forward
16760330,76206,5825,21719,13169,10386,17149,15979,forward
138817,7819,12140,8511,4484,4527,8543,1300,forward
1546528,255663,80420,16761544,25742,17736,11794,20068,forward
277040,16754128,9883,9950,7636,6465,9673,3133,forward
1216508,267649,32358,14343,16943,16754197,21315,12563,forward
703953,32293,22407,16769501,21676,22115,4850,5009,forward
243420,109238,16751810,24116,16749914,16746351,25014,6526,forward
564372,109259,16774965,19376,16748678,16745153,18268,12643,forward
265800,76676,8171,20361,5243,4087,5061,2490,forward
364409,50610,3913,16751290,23869,7777,22953,11798,forward
176253,22609,12626,16760964,10008,16995,17355,19507,forward
131530,10729,102,1346,1748,1071,891,499,forward
1070071,124063,29355,10323,20766,21129,13778,6931,forward
1028066,298601,85738,16759826,20620,21317,10572,9225,forward
1432773,34424,10756,4592,10043,10027,12469,4460,forward
1366756,376892,16747396,16749525,16771094,16755272,18662,18798,forward
578463,87526,22988,24647,17412,6608,20081,1467,forward
850179,98103,17399,23749,11157,4050,10084,5490,forward
1962997,643925,178368,137176,69648,16752302,16765597,9624,forward
1350768,78814,17859,30968,7852,22871,6559,866,forward
799203,330051,65476,10713,69910,16757691,12783,12713,forward
2112143,418746,42188,22061,31523,16750668,24990,7130,forward
736643,112007,16770230,16751309,16761092,16747085,14833,10137,forward
1520291,309170,16744928,16749602,16748650,18128,30550,5658,forward
1380496,16773430,30078,26259,29763,18341,12127,8970,forward
78011,31869,5707,8927,4231,5182,6784,1626,forward
2457573,43122,41566,24279,22420,16772169,16754379,22995,forward
123180,266837,9385,25091,14061,28305,23155,6520,forward
2469106,180920,10991,2059,16753313,75347,15199,11178,forward
493871,264051,16757664,16771738,24059,25844,16775059,19156,forward
977857,29419,10570,8233,4131,6682,4096,610,forward
338897,21184,16774080,8410,25681,16746039,12185,3104,forward
83399,131962,10306,19161,4641,10658,4963,1993,forward
503224,137172,31921,8420,18530,25005,9647,2386,forward
219188,142374,20750,16920,10929,12756,11351,2559,forward
181437,59624,6244,6480,23812,7057,8970,2042,forward
115809,15407,1082,4501,1555,1427,1167,319,forward
2210440,113171,51530,16762836,97177,16751355,16632,24026,forward
530656,12394,7441,3459,5089,1624,1450,368,forward
477550,157553,95485,14191,66525,25654,16746582,9170,forward
337084,16765282,2489,13486,21413,7990,3392,1247,forward
240857,86454,14285,3658,15082,17785,5521,1980,forward
218867,53032,9249,15355,24933,16744465,9966,5071,forward
1719183,220830,22119,16771051,16759274,20792,14062,5564,forward
1242427,384276,4409,16759145,22877,16765367,27261,15841,forward
973219,282771,22180,66467,16747030,12293,16752881,9798,forward
1444955,47995,16760635,10240,16754674,26037,32438,6327,forward
975093,410930,11294,22616,24677,27159,32309,16757811,forward
1190417,389175,33108,140609,32406,30038,16746677,11382,forward
386955,16749473,8245,17237,2346,6433,7046,1112,forward
532264,16772202,76545,19960,24437,16971,13343,3827,forward
695127,169502,16755115,16757311,7118,11162,27455,1903,forward
1027847,39201,16766158,16757119,32492,19309,24243,14676,forward
1005833,1265974,41648,16773712,16746,16762993,16756514,15879,forward
2481708,1085987,16764079,16768857,16762086,16763967,71755,14538,forward
795753,15476,2251,5458,3861,2226,2183,1311,forward
327348,213831,74951,23608,16773900,16772922,16745866,4760,forward
920412,16774667,2996,4858,16763207,18818,14822,9771,forward
782604,74410,83368,16762272,28210,23934,17932,6960,forward
1613090,1241921,86952,16762415,26986,16749575,16758596,16749256,forward
495947,341386,69682,77606,16753373,16765163,16759957,8059,forward
671330,155572,29208,15275,22796,20705,19017,4421,forward
1521705,155447,16768629,25284,5299,12735,15652,4940,forward
597698,52778,74912,7383,23107,8077,20604,4847,forward
152285,16763431,9447,12467,2347,7740,3784,2373,forward
301172,226281,16752779,10856,11017,17742,22811,6946,forward
448570,55487,16744811,16752095,16749425,22067,30177,15452,forward
1196681,76168,10376,20640,6953,9925,3601,2997,forward
2135489,417078,24826,16756486,20589,32146,17654,7816,forward
1128641,463484,16759549,16749264,72876,22423,30588,11089,forward
408108,40996,3160,11324,9073,7502,7393,1989,forward
298550,383814,16768160,16765510,24938,16752182,32406,16831,forward
71715,6832,942,1090,678,532,760,700,forward
961841,131631,16745536,18309,24635,6506,8392,6326,forward
1006701,16763149,10753,12615,7083,10505,8625,5014,forward
33846,11157,750,664,1429,2417,1539,190,forward
777171,257263,112980,94015,20570,16759429,16753712,23247,forward
2395552,753209,16760250,94132,28401,75321,16745802,67290,forward
950931,126085,91485,69538,16748758,16768530,16762678,8580,forward
1016526,117526,36835,16759432,16745397,16752682,16754476,8785,forward
705029,210834,12247,16749858,89560,17709,17860,6541,forward
222933,16747968,11261,9646,4561,4558,4106,2724,forward
282447,19293,927,1126,1476,6797,2121,1037,forward
16754447,21685,2213,3836,3141,1608,2495,619,forward
669205,97011,19599,19558,16873,7748,7654,2997,forward
590143,32344,2308,3745,11700,7954,5640,3429,forward
463397,436641,142550,66376,16761126,28567,17758,11759,forward
873004,29134,23010,5675,10944,8283,6473,3692,forward
2066373,170539,208002,116489,42084,70201,24379,12883,forward
996644,94984,31921,16745922,8685,12632,14595,5652,forward
504662,340617,31106,13189,9311,13151,13722,6056,forward
1049180,205003,6777,10847,18488,13722,8680,2076,forward
102107,148253,14311,16747896,13588,29143,18898,3456,forward
809979,52246,28265,23680,74920,16746826,17078,5931,forward
121627,21793,5696,1731,905,2022,1957,393,forward
1277969,1725976,16765412,46251,16760893,18153,16746390,21515,forward
263397,114241,16746381,9475,5290,10554,9530,7814,forward
2237776,358025,17927,904,28860,16761455,91318,18437,forward
1131489,113557,16745342,71959,26366,18059,16752325,14536,forward
