delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
417650,203823,22631,76120,17127,10748,5572,7146,back
229653,79213,8795,16758572,14072,31035,13953,6690,back
1137613,554964,353017,132870,16312,16751051,16776477,16230,back
62326,11342,3084,6561,4908,3454,12275,1020,back
1154317,324355,17747,14801,6271,7561,10192,3789,back
914009,204539,5602,16759479,18527,14301,16427,5909,back
859715,128479,151358,68078,16442,16760486,17942,16745155,back
196276,299055,4682,21555,14303,23418,16746972,6214,back
472857,21681,30194,26496,6051,5261,2388,3089,back
1308154,528004,16764805,16760782,30166,14847,27962,15805,back
202596,31097,19611,5569,6914,8070,4740,1734,back
270907,245575,5529,16747749,25099,9160,12894,12113,back
629794,149644,24392,23120,2731,5525,2085,4259,back
329138,520498,47601,16765068,16749169,28995,16748309,15928,back
125540,35487,16758502,21554,15812,12017,15977,1598,back
413774,16755205,5451,6902,3446,6112,13497,1752,back
109647,20049,1576,4782,6543,3570,3164,1297,back
117542,16760671,7086,4344,3167,6481,2821,739,back
75862,5649,4277,850,5144,3452,4374,968,back
584893,205205,32539,16756741,17952,18781,8175,14201,back
341335,16768396,26834,23830,16760695,24419,26687,12009,back
330125,31694,28880,11394,11142,16947,20877,9546,back
284739,300933,33142,28579,16764634,22278,16747577,13184,back
6752,16767287,10191,23558,28520,12165,10246,5472,back
787676,60998,16751075,7265,2957,5027,5183,2297,back
16748696,17006,2098,2436,3642,2874,2248,2411,back
863685,119217,16755272,39762,27183,16262,13358,8921,back
274142,16764077,12370,4980,7200,7201,3972,1867,back
397596,85695,32323,22067,18335,13288,3274,2761,back
177717,6144,1267,213,1600,2530,636,1953,back
169490,73199,38661,16761720,11137,29154,24087,18656,back
353458,665824,80949,17649,22524,16756325,16763940,21994,back
1045285,553619,16758259,16748705,22462,19019,20595,9454,back
1735935,154808,16746340,16746574,80203,23257,27618,17662,back
318547,195312,7029,10067,10253,9481,11665,5245,back
641223,191314,16751748,16750406,8262,32480,19572,4020,back
681863,173526,16768980,27736,60346,28161,16748756,9176,back
1171654,367451,10650,16770829,9914,20396,14971,31382,back
451901,82585,7757,14801,4808,5677,6934,4846,back
69764,16769050,8028,15701,15289,9767,7453,8125,back
510509,626974,56289,27507,16747019,20858,69523,15719,back
195705,118922,16753716,16280,12021,20164,16758079,7982,back
616947,74291,11310,3103,11960,5284,8098,3807,back
254377,28858,11235,16749553,31136,12973,13626,5830,back
413913,42419,24565,20701,25534,30315,17669,4538,back
608887,96866,32207,16763785,12132,11431,7132,2456,back
133784,30127,9756,13901,6676,11296,21357,8105,back
16768522,15351,19521,31896,9229,15534,5737,6378,back
237854,16762853,12840,9331,24102,23259,17494,1597,back
75786,68769,14986,15722,11340,11923,4843,3939,back
106679,16750218,16756111,74517,16759634,20369,12274,9527,back
102919,16753322,16774321,29461,10401,16748726,12971,7496,back
73674,24673,16998,17241,17839,9682,15807,3545,back
402390,48286,7634,27536,11512,14018,11299,4794,back
131737,22802,4829,14040,7052,10201,13976,4094,back
438625,78978,16747051,14470,10704,2898,6464,1845,back
63415,25079,16767398,16746292,10606,10183,3925,1635,back
27646,25126,20525,26094,7838,16745569,8494,4668,back
28184,29744,20865,12517,26208,18771,14202,3975,back
16772838,20413,9732,24993,11034,12780,7669,2167,back
16753248,10532,30863,16764610,13411,5023,9753,1776,back
16756097,18898,16746493,92585,13022,24566,6326,10876,back
36711,73375,2582,16499,7974,8911,5557,4046,back
568065,16758856,16754545,23420,12033,12121,10723,14098,back
245335,16754181,15696,3779,1665,3162,4199,1723,back
718757,212760,92898,94146,28282,16756828,28019,10175,back
38039,16763364,17226,17457,4181,20215,14459,2291,back
624979,15868,3637,1681,1506,4612,2260,1742,back
19984,16691,16061,28041,13043,14876,4800,1453,back
41514,23452,13838,11932,8229,30859,16751929,13922,back
91582,46299,7210,8925,11643,19858,6963,1380,back
190493,14017,9761,21660,13953,5661,9715,4368,back
149277,14165,12520,7161,148,678,1079,936,back
16768818,17876,6560,15736,7246,25955,22542,8044,back
16757410,11895,16059,11354,4979,14006,20977,4913,back
16773174,16773450,13815,13548,10523,10058,11104,7355,back
102016,16766253,16793,7994,9274,13405,11309,6064,back
23628,4204,10842,22668,9249,8337,1505,3856,back
16752336,16744522,4694,24591,6813,5993,10037,1437,back
300843,94623,1360,16768120,6829,19320,11579,3887,back
359654,158810,4937,24350,21640,26555,16760615,7436,back
87455,23092,7698,16423,10494,13326,10764,5276,back
30516,16753904,4288,21991,9687,16539,2030,2500,back
16754524,16753739,509,16756048,9859,5601,4162,2733,back
261035,30849,3645,4082,7054,3355,1013,872,back
118013,69015,13658,76627,11998,19167,19074,11695,back
227871,16771869,5878,31602,21596,12560,16168,2919,back
20897,24469,15706,16744798,6022,7035,9873,1826,back
1016605,162281,16765053,16751395,22609,17793,9710,2564,back
12183,19328,17738,8297,4394,14403,5281,8192,back
78104,84200,4441,4584,4747,2743,2099,889,back
39596,8158,17963,22173,19593,8744,9102,6004,back
30316,25100,29201,22388,17851,10506,6125,3073,back
16750252,16760198,30669,20598,6256,24581,7691,5446,back
29080,18975,7550,14005,14583,8487,8824,3298,back
424288,70029,18941,28119,13861,27099,16744905,4581,back
16747508,16744573,25811,6590,14073,10577,3053,6698,back
7050,12739,3270,17433,11580,8884,5986,8039,back
23755,16751068,10317,8426,19582,7662,3971,4699,back
20621,15057,5703,13879,7393,11882,4920,2778,back
119420,16761562,16755440,30536,4935,14957,3065,5763,back
66537,15193,21448,16768212,4000,10776,15361,3958,back
253372,20989,1194,4972,7905,2058,1320,197,back
113111,63608,19915,22643,19620,11806,16757,4899,back
1404,28069,11931,9502,30016,14083,8933,2639,back
23923,16752793,7444,12338,4940,11133,7805,2945,back
16752712,9070,13212,6725,3857,10117,3482,929,back
22326,18247,18485,16750875,17031,2538,4925,1973,back
18091,16760762,11390,16757044,6634,15367,6099,4975,back
16746297,13510,2921,11439,19400,13437,5196,3344,back
105350,42430,16749490,6721,6278,16623,3723,5077,back
16756616,32189,11153,24485,10176,13911,6279,3296,back
16764159,26418,21510,15076,7109,7667,2052,2615,back
