delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
664561,105919,17508,13542,6130,2800,1810,2170,back
453313,83746,8752,3549,11566,11526,4986,3765,back
970895,201853,102157,21759,16744478,21160,21145,20389,back
1926272,277084,131400,16747964,7151,16749250,18313,3507,back
1786189,262067,9438,28733,17554,14628,29209,11017,back
160404,50894,11720,2861,6307,4230,4869,5759,back
47732,16773262,51689,25679,10358,22606,21280,3110,back
38909,16746837,6669,16747353,7220,9932,10648,2678,back
200269,22012,4304,5215,10474,6855,4730,1245,back
464859,212747,5071,13709,24424,15529,11340,3298,back
820317,76221,16757431,9753,16758712,31881,18489,3314,back
94297,10578,333,10019,4861,7747,4959,2066,back
173746,26037,5882,9381,4321,4617,3422,2471,back
120670,16776446,4975,16750594,21652,15798,10620,9629,back
18995,12854,9130,16753977,13838,8154,16838,7521,back
131250,4705,10954,4483,2209,4493,2630,961,back
204812,45644,29047,16750357,19623,16754819,7829,11921,back
633762,73261,15470,10196,10563,7661,17193,5592,back
23824,154659,16756991,31542,30930,9851,7267,12845,back
460603,123227,16749255,26691,11384,16442,18690,8881,back
16751283,29294,32546,12858,21013,20283,16612,3102,back
25657,27642,27287,29460,16749924,20662,31964,5600,back
35633,65912,24635,8042,15491,26279,22425,9189,back
30974,16754882,22384,25715,14304,13507,6555,5886,back
27112,16374,3079,12508,9319,9390,20140,4449,back
16764763,26298,4816,16754753,22244,11072,8249,4283,back
9417,76775,10677,78813,24634,16416,6810,5605,back
16758446,11510,5072,16749408,8044,25444,11166,3101,back
9231,15688,9764,10104,13068,21733,12800,4480,back
39047,21023,19073,20058,7685,25560,13486,10620,back
16760626,21627,14522,16760743,16749745,9104,7074,7836,back
52228,16761875,16762184,16757429,20446,15331,9894,1557,back
20908,32147,5876,12301,7066,15678,13260,4257,back
256414,103228,46849,23303,16732,12412,10417,9022,back
942212,16769769,16996,9123,17910,9133,17479,3943,back
188441,8687,1355,8010,4451,3941,3316,1728,back
16744441,16748965,18062,25417,16756548,17376,19575,16113,back
139078,16758154,13055,15661,17123,16749484,16747755,5154,back
11626,16750823,22358,16814,15844,17068,12883,3353,back
125420,89244,11580,4005,1852,4988,1983,3037,back
92765,22448,3790,2913,1235,1813,1269,1548,back
43229,16767341,16798,16747916,11476,14914,3877,2701,back
203697,5084,1278,1990,2168,1476,4389,825,back
15864,22635,6403,16755258,21597,13859,7396,5923,back
78425,19061,21481,9856,4852,5944,5370,8441,back
15048,12832,12081,16756029,5199,16821,16445,3486,back
16774741,27860,2620,5300,7212,4943,1978,1983,back
355152,84428,29829,15071,27617,13665,8205,10044,back
21656,4232,5132,8732,11214,18291,5546,4510,back
133517,40473,6622,16756947,11591,12070,26676,6960,back
629873,114378,89871,19827,21333,14497,16746922,15400,back
16766422,17476,5313,6489,5490,20490,9725,5011,back
76391,77890,5850,7763,3516,4252,2122,1336,back
1773062,297485,29761,16748748,22797,16904,20401,13571,back
16746872,16614,23656,739,5480,7132,6340,5900,back
16755902,6419,14954,7892,6537,6590,5515,3472,back
16760112,28942,3965,15719,11049,16357,9293,5929,back
724087,57842,5056,12116,25147,11091,9278,2708,back
16755835,23561,5195,29016,29340,13206,10948,2602,back
8737,12830,7750,16750359,5835,12193,6283,5792,back
83313,16753079,2295,27221,3749,4198,3136,2325,back
596243,44390,10305,9127,12940,13419,11090,4962,back
35806,16745966,2598,8672,3038,4090,2790,1258,back
162693,24425,8500,2928,4571,3842,1286,934,back
67179,16771149,30103,19409,14773,18376,13869,5398,back
440637,16766438,12765,13015,13977,19958,4686,5961,back
16748309,9957,6509,16755024,11300,9694,11470,3172,back
209716,16767608,10278,3854,1925,6318,3820,986,back
11929,10877,3741,16762538,12712,6317,4221,2813,back
19697,16746186,16440,30478,5863,15384,7191,5092,back
1755041,401248,13286,18198,18919,28929,19446,9848,back
16762776,16748177,8004,16767,13014,10170,28590,6147,back
223141,11304,1404,6363,4453,3614,2075,663,back
16763173,7013,6064,20539,7605,13277,3062,2985,back
16772141,73160,18509,13235,12390,13980,6278,5776,back
328548,78727,12807,16749474,17328,17456,4167,8391,back
167751,210273,16744539,13376,23117,12161,11147,10124,back
607194,16773728,5818,7567,12408,8243,11623,10242,back
87593,16746587,5807,5757,4154,1241,3536,1338,back
67344,54162,27387,25353,18201,11222,6002,5864,back
46495,68594,21830,18172,3705,10755,16249,1285,back
14393,6857,5924,16751704,17606,12021,4751,5379,back
328115,96791,37605,10330,10387,13148,9240,7546,back
9070,15064,14472,16774226,9887,12669,16572,4069,back
7323,16744793,3825,31845,11716,8961,8272,7394,back
80124,20003,2962,10947,2714,5653,746,1015,back
24792,12090,4388,23995,4906,16164,9229,5132,back
7013,72316,2556,16751409,27773,10284,9253,4679,back
656553,67472,16747309,23285,14664,5273,9590,3664,back
27689,5803,4180,24080,16386,11663,5017,7985,back
9610,11989,4147,28734,8010,18278,6081,4619,back
25166,14688,13275,5359,18456,7085,11315,6297,back
72941,24368,19874,16114,19636,12004,3166,1939,back
5723,8990,2826,13408,12336,12683,4357,4590,back
136735,16755270,5819,13024,10037,2980,2484,1534,back
140940,97651,22347,26385,20757,13480,4632,3247,back
121764,50987,26200,21612,8256,15533,5163,2817,back
16765865,16767009,22505,27946,27063,9821,4600,3405,back
40509,181902,30814,5254,2654,21869,5131,4292,back
16744887,18369,7154,13064,18586,15593,4830,1432,back
5901,10995,13879,3206,11682,9640,7856,3348,back
75001,16765002,17126,20008,24941,12835,10662,2724,back
396926,94045,6099,5443,2347,1414,2410,866,back
5529,17186,20076,24094,9585,4948,3380,1484,back
16202,24321,7722,16746201,5267,5393,9114,3129,back
100841,69823,5499,13783,4909,1743,1175,753,back
16746340,20122,18143,16746852,21820,9541,6632,7517,back
77451,15655,4156,9368,1078,4646,1008,941,back
7600,14507,1862,22155,16051,5992,11093,4611,back
2851,15740,14595,19784,22177,16787,5454,7112,back
9688,11904,11735,32228,3753,24767,7983,1915,back
335054,16747097,16746441,30184,17766,9493,7489,2718,back
14270,15731,19382,16745121,13371,9529,15312,3635,back
5964,28541,16590,15582,9504,6875,9077,2764,back
853587,137917,28676,16748352,14545,12731,6293,4476,back
84430,21266,1044,14193,10569,7184,6779,4935,back
16768978,16752168,16749911,16771542,16761,13484,10412,16745810,back
1251355,99838,51225,36558,75678,28866,29530,8714,back
1478335,485347,162550,16746126,20421,16766576,13867,5772,back
57678,22327,3294,12466,6910,3141,2159,2454,back
226068,108282,20902,16770653,8828,22087,7068,5624,back
27993,32440,21738,20853,4760,11035,9872,1276,back
223032,16697,9536,3382,5252,2600,1680,505,back
2172,13142,22890,7242,9282,11552,7686,1411,back
10091,7168,17332,26145,4561,8920,8487,1605,back
4731,23764,12247,10129,10272,15311,6392,2447,back
26754,14015,4102,16028,4609,5506,8011,5024,back
22463,14047,7052,6002,4591,10938,15103,7624,back
32253,18178,6612,4834,6099,3897,2365,599,back
11477,32152,31942,14656,4742,10330,13896,4614,back
219295,267491,16771012,11547,16760379,25603,18735,5028,back
594559,16775046,7983,2712,20542,10284,9254,4723,back
117370,16767283,10774,30097,32472,22898,15042,7942,back
204125,12560,14575,9610,2546,4616,1889,221,back
23813,25251,6616,21366,9992,11137,8364,4701,back
344262,34488,19294,16758543,8552,22591,10880,3935,back
605336,181840,20444,29421,12252,10476,15776,6864,back
18944,16749349,2833,16747991,9813,8055,6191,1506,back
253617,16769470,5624,4691,1257,5478,3662,408,back
8968,8801,23538,17127,3127,13720,5175,3953,back
131443,22827,2900,4769,2475,1889,2368,934,back
82020,21425,21006,24185,19527,27570,5573,2612,back
215953,23470,8913,9107,4370,2222,1725,1401,back
16748937,14828,12632,28089,30668,10788,9834,3646,back
112495,62516,31101,16749655,25660,25582,9996,3142,back
30285,14843,6657,16746170,3220,14623,4932,5770,back
4064,12081,5778,29810,19671,8328,9885,8418,back
77908,21744,1894,2964,3132,4010,2090,1462,back
451056,88560,3184,16745674,16601,22353,22717,5968,back
15346,9606,1789,18484,6707,6655,4734,2047,back
127878,16761937,16303,714,6449,3408,815,679,back
21495,9811,16751115,15166,16920,7711,7435,4703,back
90283,69313,26476,27983,16758050,9049,2977,2116,back
391580,15202,1084,7336,2334,1655,1406,863,back
11639,5599,16213,21321,18866,7751,3772,1153,back
209117,16745607,2883,7685,2549,1235,1497,470,back
135779,28506,3690,16752682,22380,17546,9003,2458,back
16760172,14512,10641,6552,6973,6674,9997,8061,back
10260,2977,5242,24543,16329,10678,4956,3833,back
7398,28764,4812,18673,10345,4188,3767,3443,back
32728,16755964,10711,14401,1150,5481,412,889,back
1305473,1588617,130309,159548,16772016,137421,68554,16755287,back
16770874,29685,16756043,20312,12327,27965,17022,5182,back
18400,10112,9539,22367,11104,9629,3589,4191,back
16758153,11877,2148,3964,1691,2493,1783,594,back
8886,10130,12001,16756635,11963,11510,3695,5485,back
15219,18415,2031,26972,9961,5217,1685,8078,back
15603,16759873,21722,18977,29676,15723,7544,3593,back
662675,16767950,8845,16753172,16745817,7148,15618,4778,back
3714,3002,2163,6356,8866,8883,1729,1429,back
22033,18050,4861,6323,2675,8293,6973,3139,back
3968,21571,7388,13923,5535,10676,3911,2139,back
61865,16754685,29040,16744741,12584,23634,6310,1310,back
5370,6187,9798,17006,9104,8799,1275,1463,back
171612,80666,16746362,11941,5846,2684,4387,900,back
22061,17298,20330,12028,11958,10655,5714,3422,back
12829,20735,8202,23510,12698,20076,16567,3679,back
17588,8527,28079,11135,11220,18161,22195,2225,back
16756842,21305,5875,3643,5126,7966,1264,443,back
48348,4897,21169,2888,5074,2266,2939,869,back
20075,11128,18142,30105,8130,11927,5202,4230,back
37274,31981,9639,5723,6214,3350,750,724,back
10966,7878,1541,18703,3801,8388,3721,7154,back
22142,12263,8730,20011,16745609,14651,9607,3108,back
57089,112951,17623,24308,21474,20998,7163,18289,back
26227,30530,8662,11029,29211,20788,6895,3108,back
185417,16748555,4051,3578,1231,3645,1225,1020,back
16753623,11899,19888,21708,17923,7945,17296,6437,back
65441,18833,13358,16769460,20008,10553,14073,5710,back
16762123,16744867,11185,16749075,13162,6666,7285,6056,back
9748,19096,16357,16744978,21356,16906,5449,2956,back
359621,90909,4898,3289,10123,10484,9374,1997,back
83967,21455,5510,2913,1246,2216,2426,1660,back
14967,10965,7737,16745165,15951,13926,5764,1337,back
81221,16744477,10937,2637,2743,1362,998,605,back
6316,19242,6395,7345,11951,12171,2557,3030,back
3577,25743,7798,16745578,21261,7967,5736,1057,back
425494,16763295,27342,30346,8917,26162,11148,3984,back
6920,17275,4711,6942,20894,19045,9126,2393,back
24541,15988,5085,4619,3263,7552,5063,3717,back
16772069,12020,4166,9818,5795,3222,2280,1360,back
115183,17736,2636,2033,1746,660,16777204,183,back
