delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
754164,92540,5443,6287,15138,8431,10136,6305,forward
167138,16745335,18768,4185,22457,7754,7551,2619,forward
1046558,1048992,155824,16752538,27024,16761265,16775691,22391,forward
929024,16755828,69669,7467,20364,15475,9227,3118,forward
1648589,189936,16768110,16750926,16769145,16755656,83489,16754033,forward
953641,101997,16760640,13802,25774,4737,11400,7760,forward
411168,330354,16763093,4660,6258,8707,9698,2293,forward
613372,223552,16756207,36653,55887,16772187,16770707,16749272,forward
1144448,76245,16975,78549,25777,30922,28017,21361,forward
1217825,591430,83644,16758151,10711,22354,16746604,9436,forward
315684,16757008,26629,6738,3727,8454,6418,5976,forward
1016410,33437,18966,65543,16140,20399,16773475,12036,forward
171768,70946,14882,11299,16581,2982,4315,3574,forward
143661,32986,2379,2772,5351,5771,9916,2082,forward
685629,153768,24603,29001,26600,19567,16744401,6245,forward
1440241,177372,19743,16750593,21810,12065,12669,16749120,forward
1590314,16767860,16748057,16748294,16758642,16763100,12079,11388,forward
592223,16745959,4113,10824,6493,2961,1899,495,forward
25468,22891,3067,1407,1562,2830,683,630,forward
1972652,423090,73160,16754738,16746916,16752972,16751793,8693,forward
228432,16759859,8896,1093,2393,4630,2428,1776,forward
1337070,132686,11606,15466,6888,6248,6078,3419,forward
1626129,198646,16768301,30660,28404,16766805,16749902,3344,forward
50056,7661,3998,1737,760,1236,1431,1025,forward
963610,39665,19084,28857,18697,16591,8901,2898,forward
751176,93076,16762935,4853,16884,9759,19993,9066,forward
2108380,348334,16773417,40073,16764946,28059,30069,20045,forward
222116,16754712,11086,2322,5416,3233,4454,2582,forward
414226,16765976,20205,26112,12119,5220,11248,1214,forward
1649576,884647,16759265,27691,14219,32037,16749587,11959,forward
1724521,93323,23791,5883,3113,7037,7565,2425,forward
31697,22235,16634,9809,4852,4837,6367,2579,forward
855931,764594,147584,33701,16747281,28095,18632,28595,forward
304144,76114,19964,25929,27247,16745708,16757330,7676,forward
559264,14346,7323,13636,5711,6853,2483,766,forward
678066,16754994,15823,12088,13218,5689,8067,11427,forward
16749718,21814,1893,558,1897,1229,1334,1150,forward
390408,9772,15766,12895,13004,11794,5734,4847,forward
1039806,165105,2422,4325,17146,10863,8673,1811,forward
1227337,230520,30787,21661,19764,16765830,16765281,13514,forward
2051098,244005,16746183,16755822,30144,16756408,27892,20357,forward
1459027,60538,79070,16747446,25281,25040,16762185,3998,forward
1669944,43025,69163,19533,16763934,16744829,16766457,7699,forward
1716423,214881,25330,26971,16765533,16757318,29597,25709,forward
878120,159845,33861,29380,15438,31989,18261,4483,forward
363459,87888,13099,77412,28248,12173,9033,9570,forward
56741,8261,3644,19812,4574,3481,3519,2932,forward
79963,67969,18156,20380,9150,16014,11376,4390,forward
164328,20235,4698,10590,2674,6898,4423,2174,forward
248640,16757264,12583,6981,6191,3281,5236,10095,forward
3032835,105744,35779,16758421,32481,18285,12825,9214,forward
89915,5997,1921,2311,2171,1377,861,458,forward
764194,162444,43596,64728,27719,73759,15672,10687,forward
156273,530380,7844,21654,16110,22307,16750921,9400,forward
164942,16760334,5420,8399,5449,8422,3682,758,forward
1535791,390589,102730,18954,16559,21920,19883,15735,forward
573892,16772571,27595,15079,6079,7013,8072,2188,forward
390270,363424,16752211,16745349,16754593,16757627,26130,19137,forward
16754123,26490,7083,8554,4006,4021,4571,4151,forward
890275,79690,10141,27096,16768495,24252,6652,7749,forward
636013,320851,75517,20993,31161,19366,16745354,5258,forward
1413303,176576,74059,31603,16754856,80811,29533,8556,forward
190611,203756,62490,16768448,16751879,16752834,24175,14463,forward
136132,16768316,10537,5501,9744,9664,2815,1133,forward
375520,16753760,26108,5100,7837,9459,9238,2272,forward
378659,285489,8540,17268,17081,20778,13434,6959,forward
732932,670771,75180,98797,16762249,84390,30306,15469,forward
1586278,366423,6239,119618,16754394,27679,16752134,13853,forward
1687637,158125,17428,7067,13201,7073,8386,6561,forward
349355,228209,26289,16750469,13653,19431,5149,3744,forward
1655851,326069,64184,99289,87418,16758590,16773659,16750191,forward
362080,16766154,6636,6094,3486,9153,3653,1871,forward
2686910,230899,204233,195825,16776240,133820,53090,16754584,forward
405285,27407,82626,24494,16273,9345,7583,5511,forward
1351309,107718,27167,16767789,68379,151105,46448,67428,forward
994569,289275,28447,16752056,18572,16771798,16752759,22394,forward
380480,47647,1474,4627,7402,11599,14422,6060,forward
513586,526799,41776,67339,16745353,25609,16758239,9552,forward
201960,84275,13956,4530,3521,8190,7482,4728,forward
852661,135816,25221,14466,7969,26243,13479,4635,forward
74307,23282,1273,5117,816,2027,2429,1094,forward
573739,37481,22162,12600,4149,19957,24467,9149,forward
1513050,175176,16751702,90678,16744978,16745593,16770980,17696,forward
16757906,17845,5182,1701,2043,2198,2012,436,forward
2178741,185763,142607,16755358,22780,24176,16750949,11706,forward
973227,750053,41989,16770856,16775740,16747413,16758907,6525,forward
229208,492985,128025,32719,16770149,161647,78285,16748314,forward
157940,16753199,12947,11661,3456,3828,11059,2303,forward
259651,452923,16774149,16752509,16745049,16754176,23032,18563,forward
1138233,116672,2767,15884,4146,8612,6909,6190,forward
1667651,482908,210596,16762851,28577,16772578,80564,10816,forward
844054,289839,16765328,16745927,16750272,24516,16942,4452,forward
54556,79549,7521,6634,4126,6455,5347,700,forward
2669915,413140,16773948,41998,20468,72524,28555,16051,forward
621574,1005689,19285,67433,16749260,16761377,16748773,28807,forward
107950,138850,13410,11386,5644,3654,9707,3177,forward
1520095,75385,3949,32476,6552,8050,7907,7641,forward
1340732,410322,395219,66138,16757341,16745827,16751702,9585,forward
409056,11821,8608,156,2769,1671,2124,604,forward
16878,24418,1362,4500,983,2783,1541,301,forward
1815563,540005,16776933,20222,20324,16747219,16770352,9392,forward
410256,50183,15879,23961,4806,16581,25458,2123,forward
872178,16764562,10439,18323,5842,10335,2952,3026,forward
270177,159262,16762730,10682,15453,17372,18803,4066,forward
2253530,1370355,16765273,16775990,85142,75733,16750741,29351,forward
1107843,661400,130339,53667,230116,86773,47248,19836,forward
441397,159869,16764428,21557,12646,19459,22696,7329,forward
1351636,1078672,82482,16774707,16762944,37708,59607,26022,forward
1514347,928713,16776169,68598,16769231,23231,16762568,27359,forward
592349,16755149,32302,4583,6173,6205,6156,1768,forward
16771412,16759879,24912,7950,2182,2869,5323,1175,forward
1067234,16747874,16745400,3090,11189,11301,7555,3617,forward
183828,269759,16749234,31644,19487,20078,7989,4386,forward
850640,145573,133198,16754018,16759394,15803,31732,18805,forward
2633691,1323220,465262,16746757,54129,154912,16765369,25283,forward
1664799,43187,4807,10251,23510,5925,3627,7561,forward
1723927,327049,85300,82244,16775955,25409,16749130,13838,forward
232260,84290,21275,8676,7249,10895,2926,886,forward
972989,885705,813960,59186,16757858,16763774,65402,31913,forward
1332614,1409152,52250,208355,531931,85212,49866,16758593,forward
1675485,303982,62767,16745865,71579,16752550,24163,16750142,forward
266096,80632,16748941,7533,4123,11513,7358,4917,forward
1139341,880316,54787,16768226,16757078,16769726,16765221,5487,forward
1104790,415546,68777,5876,5590,20664,15788,8388,forward
566552,40344,13271,9853,10506,18699,20653,3195,forward
2196148,16754460,30373,11111,7014,14618,21788,9840,forward
653764,130300,4075,14560,3792,10329,6481,3356,forward
1993211,681730,62077,144348,57353,137284,88315,74677,forward
671329,70462,25083,16757287,16749720,31906,31186,10314,forward
33006,27397,29377,1771,1808,2980,2866,3164,forward
1659780,912877,37748,75474,16753110,16769166,96318,32124,forward
610662,16750446,16753722,6710,7632,7458,8930,5482,forward
688738,31014,28934,15034,5311,11256,14483,8161,forward
638441,79296,4303,10348,5952,12449,3787,2195,forward
424358,417826,42071,25935,74447,16757632,12201,15499,forward
563615,128673,16751198,10170,15940,11484,32480,4688,forward
976254,145155,16758956,12275,8397,12601,6341,3099,forward
868794,49259,23821,20316,8045,10320,12919,4428,forward
1136002,87595,21863,21008,4789,21253,18342,4616,forward
672847,16773793,12307,16752554,11813,6804,10183,3998,forward
1304625,329820,197290,72017,16772711,28888,16744598,14114,forward
740435,96357,67899,16764863,28097,16753121,19809,6910,forward
266980,390345,16744697,77882,73862,18499,23615,9237,forward
319551,94671,16529,5369,4531,8701,9109,3525,forward
1695898,291102,74077,26910,25924,16776720,16754492,13224,forward
1739243,16750318,29493,6166,10719,7274,7450,7751,forward
246577,199324,17918,21243,6265,14099,7489,5924,forward
916503,36846,16257,21911,5642,3463,3439,1875,forward
1603037,193599,6345,16744746,16077,16745385,17158,2439,forward
757288,122367,3959,6914,6230,8891,6505,4311,forward
921551,91028,4922,5340,12523,6329,2851,2807,forward
529616,223413,16767360,19483,16744564,19318,21457,10305,forward
660519,319800,79397,15829,12687,16747093,30661,15569,forward
1560799,212159,16747265,21755,7650,13249,5895,5818,forward
698503,531825,18758,83318,15956,25711,24833,4988,forward
1434090,174563,16755171,16756094,16745883,16751298,16746071,12390,forward
2134447,100568,16774740,16768666,23177,11241,6178,5163,forward
1008944,240688,20647,71036,14778,20288,12740,8463,forward
185857,69268,5738,5735,16043,4448,4207,786,forward
421063,23379,22301,3855,2355,4360,5529,2981,forward
600269,18831,15310,26601,17982,3833,9779,1837,forward
140793,16758020,21898,18019,7131,7581,12796,5257,forward
79930,8911,2499,2541,4387,1335,4256,2081,forward
347956,332987,138974,134272,81765,16755193,16747807,16754595,forward
1126556,708176,193632,313990,33686,135692,36667,16762694,forward
1754656,372699,16759840,95948,16756473,16758787,80010,87863,forward
662451,471032,16764403,75002,24333,78579,16776838,32012,forward
750290,729769,111112,16768147,36916,98151,84811,16771749,forward
1066034,474732,98096,16759642,266927,76193,16773879,5516,forward
2500567,199570,16745009,16762144,54058,24393,22970,28448,forward
177452,36838,1009,16745395,29016,11220,16423,3742,forward
3691196,1619584,216184,97606,499198,148481,160626,16770812,forward
968044,169559,4915,2241,12546,11983,17313,2024,forward
281290,16775884,23760,24979,12050,13199,5297,1771,forward
284763,30463,6737,4683,2296,3385,1750,3810,forward
314305,157356,2607,30905,19590,10849,15804,4074,forward
760745,98808,26940,17965,16770496,11824,25519,7480,forward
1010870,68218,24646,24986,23703,15842,14988,2047,forward
781853,16767740,24679,7652,14451,5570,7259,2049,forward
687740,318401,8302,16751858,10845,15290,29564,10856,forward
1716431,203584,16748938,27264,13129,21059,25802,11401,forward
459973,60414,6957,9704,7711,12698,3719,6186,forward
56477,20334,4154,937,1653,2622,2823,2383,forward
1207958,85057,16773450,16760433,12882,17827,16748126,7644,forward
706241,139152,13488,23307,14740,13104,12635,8191,forward
1179269,206458,5142,18639,24187,13712,26051,6462,forward
122447,12993,16757491,9979,4255,6025,5742,1702,forward
2602193,230345,92924,16754647,25417,16752884,31955,30026,forward
1211687,261733,16770331,149645,16746701,30251,31211,13291,forward
1313927,16753809,19871,16747195,7305,11978,8971,8077,forward
1929838,191460,16774756,14687,8051,11678,30356,7705,forward
693565,66007,12414,13690,11728,5430,7609,2584,forward
