delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
541402,16751555,17742,3511,2671,3402,2222,1659,back
1187007,166782,16759205,16744322,21092,18623,13289,9574,back
1173628,330095,24287,17795,23407,25871,20177,9519,back
252297,76007,11074,13613,17292,16761294,9135,12436,back
1230530,26259,16773791,28591,21287,74944,16313,9259,back
228013,146265,16755389,16749510,21224,27671,32305,24566,back
1918013,468965,67780,16762194,13109,24089,16759647,5800,back
321762,109085,37807,153654,16769652,30541,28092,22804,back
259147,16774556,13188,16776250,16752681,19825,67455,3968,back
148343,112771,16771881,16772812,18645,10578,16800,26991,back
16757462,16873,12440,8414,7774,22671,12465,5336,back
263086,218533,16754779,20477,15366,18976,13030,6472,back
27504,11006,4523,29334,18855,23020,8642,2760,back
596700,33180,5626,16754802,23012,19888,12879,6883,back
76691,11920,31692,31276,22671,17571,15625,16638,back
843518,24049,15447,4026,18745,6952,3715,3263,back
491965,103616,16747452,28843,16755202,30168,16744566,7157,back
232633,16761138,12765,16772708,16405,16748582,8451,11720,back
36700,16749459,25490,16990,13975,29048,7763,12622,back
41688,16666,15208,12108,12633,14247,11045,4722,back
232167,143931,29621,16748129,14514,27286,10070,5950,back
204951,16753234,20032,31106,14988,16745965,10198,7014,back
1051711,165797,9070,25913,16869,18132,24692,26267,back
563374,157962,19885,16757159,24738,16746710,8837,13367,back
184473,10509,14491,22587,4877,11754,6947,1032,back
26812,13197,30325,16749871,26017,16448,11000,3494,back
1874951,101436,73412,31281,12577,16892,9089,6048,back
261942,91206,4648,14057,16776449,16759492,9268,2575,back
69521,16754524,8492,30704,21884,32573,9849,2905,back
16764682,28395,5599,25318,20372,23153,15246,4772,back
889878,16766945,16755113,22774,31484,10746,16746494,8870,back
16766370,16751199,18905,6188,18998,24216,24948,9913,back
92641,16762484,6713,79687,20544,10203,18390,7495,back
22774,6404,15732,91222,30889,16745319,22318,10716,back
91715,69525,12150,23481,16746931,22342,9424,6224,back
137285,85746,16754891,27468,10945,21826,6771,2678,back
677222,16748391,25206,25878,9833,10667,5617,3998,back
1156347,108006,21115,30936,16752989,16747549,12899,3491,back
94208,74335,75076,16069,20988,16745648,8937,8849,back
804258,188515,12110,7282,11796,21690,21954,19995,back
254069,136466,16748739,16760471,16747575,13127,22300,4587,back
474685,172945,16768833,24559,19005,16747627,17634,7506,back
108143,111339,94273,16776326,18323,26811,11227,6997,back
602631,351168,67452,31312,16755781,16745485,19737,3996,back
402119,16774223,23785,9207,3356,16756260,18654,5527,back
16765191,16748868,14416,8281,16750203,24860,7017,4676,back
1362129,47006,79626,26850,19983,23152,9499,6382,back
43860,11135,785,5095,11713,3345,2564,2593,back
390799,133142,69273,30424,19909,17135,16636,4252,back
163945,87685,5723,4347,3064,11331,3645,1352,back
1846864,36155,16770283,40057,20431,25685,27187,8711,back
284190,90115,17252,18145,5662,4787,5332,1397,back
16762132,37626,6064,2465,2883,1891,4106,1588,back
154862,27714,1031,3709,3890,1834,1042,338,back
354443,144018,12526,16768717,16451,16745576,17472,2947,back
152293,139682,16768146,14123,29975,18602,15222,8291,back
799609,138437,9019,16752930,16747842,10837,17019,3245,back
626318,16745790,22286,16761183,16751688,21279,8480,8416,back
16764654,16773179,23532,23774,10051,21163,11996,16288,back
144634,67587,3513,9081,14117,2792,2601,1632,back
402156,16748572,15519,2220,3841,5091,5305,2771,back
